english_text,korean_text,romanization
I crash-landed in North Korea,북한에 불시착했어요,bukane bulsicharakhaesseoyo
Are you a South Korean?,남한 사람이에요?,namhan saramieyo?
I need to go back to South Korea,남한으로 돌아가야 해요,namhaneuro doragaya haeyo
I'll protect you no matter what,무슨 일이 있어도 지켜 줄게,museun iri isseodo jikyeo julge
I'll get you home safely,안전하게 보내 줄게,anjeonhage bonae julge
This is dangerous,이건 위험해,igeon wiheomhae
We have to be careful,조심해야 해,josimhaeya hae
Don't trust anyone,아무도 믿지 마,amudo mitji ma
Keep your identity secret,정체를 숨겨,jeongchereul sumgyeo
I'll hide you,내가 숨겨 줄게,naega sumgyeo julge
You can trust me,나를 믿어도 돼,nareul midodo dwae
I didn't expect to fall in love,사랑에 빠질 줄 몰랐어,sarange ppajil jul mollasseo
Love doesn't know borders,사랑에는 국경이 없어,sarangeneun gukgyeongi eopseo
You're from a different world,넌 다른 세상 사람이야,neon dareun sesang saramiya
But my heart doesn't care,하지만 마음은 상관 안 해,hajiman maeumeun sanggwan an hae
I chose you,내가 널 선택했어,naega neol seontaekhaesseo
Even if the world is against us,온 세상이 반대해도,on sesangi bandaehaedo
I won't give up on us,우리를 포기하지 않을 거야,urireul pogihaji aneul geoya
I'm scared,무서워,museowo
Don't be afraid,두려워하지 마,duryeowohaji ma
I'm here with you,나 여기 있잖아,na yeogi itjana
We'll figure it out together,같이 해결하자,gachi haegyeolhaja
I have a plan,계획이 있어,gyehoegi isseo
Follow my lead,내 말대로 해,nae maldaero hae
We don't have much time,시간이 별로 없어,sigani byeollo eopseo
Hurry up,서둘러,seodulleo
We need to leave now,지금 떠나야 해,jigeum tteonaya hae
I don't want to say goodbye,작별 인사를 하고 싶지 않아,jakbyeol insareul hago sipji ana
Will I ever see you again?,다시 볼 수 있을까?,dasi bol su isseulkka?
I'll find a way back to you,반드시 돌아갈 방법을 찾을게,bandeusi doragal bangbeobeul chajeulge
Distance can't separate us,거리가 우리를 갈라놓을 수 없어,georiga urireul gallanoeul su eopseo
My heart belongs to you,내 마음은 네 거야,nae maeumeun ne geoya
Wait for me,기다려 줘,gidaryeo jwo
I'll come back for you,꼭 돌아올게,kkok doraolge
Promise me,약속해 줘,yaksokae jwo
I promise,약속할게,yaksokalge
I miss the village,그 마을이 그리워,geu maeuri geuriwo
The people there were so kind,거기 사람들은 정말 착했어,geogi saramdeureun jeongmal chakhaesseo
I learned so much,많은 걸 배웠어,maneun geol baewosseo
Life is precious,삶은 소중한 거야,salmeun sojunghan geoya
Love is the most important thing,사랑이 제일 중요해,sarangi jeil jungyohae
I'd cross any border for you,너를 위해서라면 어떤 경계도 넘을게,neoreul wihaeseoramyeon eotteon gyeonggyedo neomeulge
Home is where you are,네가 있는 곳이 내 집이야,nega inneun gosi nae jibiya
We belong together,우리는 함께해야 해,urineun hamkkehaeya hae
Nothing can stop us,아무것도 우리를 못 막아,amugeotdo urireul mot maga
I believe in us,우리를 믿어,urireul mideo
Love conquered everything,사랑이 모든 걸 이겨냈어,sarangi modeun geol igyeonaesseo
This is our happy ending,이게 우리의 해피엔딩이야,ige urie haepiendingi-ya
I found my home,내 보금자리를 찾았어,nae bogeumjarireul chajasseo
Together we can overcome anything,함께라면 뭐든 극복할 수 있어,hamkkeramyeon mwodeun geukbokhal su isseo
Our love story is like a drama,우리 사랑은 드라마 같아,uri sarangeun deurama gata
Every love story is unique,모든 사랑 이야기는 특별해,modeun sarang iyagineun teukbyeolhae
Love always finds a way,사랑은 항상 길을 찾아,sarangeun hangsang gireul chaja
I'd do it all again for you,너를 위해서라면 다시 해도 좋아,neoreul wihaeseoramyeon dasi haedo joa
You are my everything,당신이 나의 전부야,dangsini naui jeonbuya
We wrote our own love story,우리가 우리의 사랑 이야기를 썼어,uriga urie sarang iyagireul sseosseo
And they lived happily ever after,그리고 행복하게 살았답니다,geurigo haengbokhage saratdamnida
Love has no limits,사랑에는 한계가 없어,sarangeneun hangyega eopseo
No border can keep us apart,어떤 국경도 우리를 갈라놓을 수 없어,eotteon gukgyeongdo urireul gallanoeul su eopseo
Our love is stronger than any wall,우리의 사랑은 어떤 벽보다 강해,uriui sarangeun eotteon byeokboda ganghae
