english_text,korean_text,romanization
To cost an arm and a leg,눈이 빠지게 비싸다,nuni ppajige bissada
To be head over heels,홀딱 반하다,holdak banhada
To stab someone in the back,뒤통수를 치다,dwittongsu reul chida
To be on cloud nine,하늘을 날 것 같다,haneureul nal geot gatda
To beat around the bush,빙빙 돌려 말하다,bingbing dollyeo malhada
To bite the bullet,이를 악물다,ireul akmulda
To break the ice,분위기를 깨다,bunwigireul kkaeda
To burn the midnight oil,밤을 새우다,bameul saeuda
To have butterflies in your stomach,가슴이 두근거리다,gaseumi dugeungeorida
To hit the nail on the head,정곡을 찌르다,jeongogeul jjireuda
To be in hot water,곤란에 빠지다,gollane ppajida
To let the cat out of the bag,비밀을 누설하다,bimireul nuseolhada
To lose face,체면을 잃다,chemyeoneul ilda
To pull someone's leg,놀리다,nollida
To see eye to eye,의견이 일치하다,uigyeoni ilchihada
To be all ears,귀를 기울이다,gwireul giurida
To turn a blind eye,눈을 감다,nuneul gamda
To get cold feet,겁이 나다,geobi nada
To keep one's fingers crossed,행운을 빌다,haenguneul bilda
To be on the same page,같은 생각이다,gateun saenggagida
To spill the beans,비밀을 말해 버리다,bimireul malhae beorida
To cut corners,대충하다,daechunghada
To be on thin ice,위험한 상황이다,wiheomhan sanghwangida
To go the extra mile,더 노력하다,deo noryeokhada
To have a sweet tooth,단 것을 좋아하다,dan geoseul joahahada
To be a piece of cake,식은 죽 먹기다,sigeun juk meokgida
To not lift a finger,손가락 하나 까딱 안 하다,songarak hana kkadak an hada
To be on the ball,일을 잘 처리하다,ireul jal cheorihada
To have a green thumb,손이 약손이다,soni yakssonida
To be in someone's shoes,입장이 되어 보다,ipjangi doeeo boda
To jump on the bandwagon,유행을 따르다,yuhaengeul ttareuda
To look down on someone,무시하다,musihada
To keep an eye on,눈여겨보다,nunyeogyeoboda
To take it with a grain of salt,반신반의하다,bansinbanui hada
To be a bookworm,책벌레이다,chaekbeolleida
To cry wolf,거짓말로 소동을 피우다,geojitmallo sodong eul piuda
To face the music,결과를 감수하다,gyeolgwareul gamsuhada
To get the hang of it,요령을 익히다,yoryeongeul ikhida
To hold your tongue,입을 다물다,ibeul damulda
To sit on the fence,어정쩡하다,eojeongjjeonghada
To throw in the towel,포기하다,pogihada
To be under the weather,몸이 안 좋다,momi an jota
To have the upper hand,유리한 입장이다,yurihan ipjangida
To be worth its weight in gold,매우 가치 있다,maeu gachi itda
To add fuel to the fire,불난 집에 부채질하다,bullan jibe buchaejilhada
To bark up the wrong tree,헛다리 짚다,heotdari jjipda
To bite off more than you can chew,과욕을 부리다,gwayogeul burida
To catch someone red-handed,현행범으로 잡다,hyeonhaengbeomeuro japda
To keep your chin up,기죽지 마라,gijukji mara
To play it by ear,그때그때 대처하다,geuttae geuttae daecheohada
To put all your eggs in one basket,한 곳에 올인하다,han gose olinhada
To read between the lines,행간을 읽다,haengganeul ikda
To take the bull by the horns,과감하게 대처하다,gwagamhage daecheohada
To wash your hands of something,손을 떼다,soneul tteda
To be a dark horse,숨은 실력자,sumeun sillyeokja
To go back to square one,원점으로 돌아가다,wonjeomeuro doragada
To have a heart of gold,마음이 금이다,maeumi geumida
To keep your head above water,겨우 버티다,gyeou beotida
To pass with flying colors,우수한 성적으로 통과하다,usuhan seongjeokkkuro tonggwahada
To ring a bell,기억이 나다,gieogi nada
To weather the storm,어려움을 견디다,eoryeoumeul gyeondida
