english_text,korean_text,romanization
Sound of laughter,하하하,hahaha
Sound of giggling,히히히,hihihi
Sound of crying,엉엉,eong eong
Sound of sobbing,흑흑,heukheuk
Sound of sniffling,훌쩍훌쩍,huljjeok huljjeok
Sound of a dog barking,멍멍,meongmeong
Sound of a cat meowing,야옹,yaong
Sound of a rooster crowing,꼬끼오,kkokkio
Sound of a cow mooing,음매,eummae
Sound of a pig oinking,꿀꿀,kkulkkul
Sound of a duck quacking,꽥꽥,kkwaekkkwaek
Sound of a bird chirping,짹짹,jjaekjjaek
Sound of a chick peeping,삐약삐약,ppiyak ppiyak
Sound of rain falling,주룩주룩,juruk juruk
Sound of drizzling,보슬보슬,boseul boseul
Sound of thunder,우르르 쾅쾅,ureurereu kwangkwang
Sound of wind blowing,쌩쌩,ssaengssaeng
Sound of water flowing,졸졸,joljol
Sound of boiling water,보글보글,bogeul bogeul
Sound of sizzling,지글지글,jigeul jigeul
Sound of chewing,오물오물,omul omul
Sound of munching,아삭아삭,asak asak
Sound of slurping noodles,후루룩,hururuk
Sound of gulping,꿀꺽,kkulkkeok
Sound of a heartbeat,두근두근,dugeun dugeun
Shivering with cold,덜덜,deoldeol
Trembling with fear,벌벌,beolbeol
Nodding off to sleep,꾸벅꾸벅,kkubeok kkubeok
Blinking eyes,깜빡깜빡,kkampak kkampak
Sparkling and shining,반짝반짝,banjjak banjjak
Glittering,번쩍번쩍,beonjjeok beonjjeok
Spinning around,빙글빙글,binggeul binggeul
Rolling around,데굴데굴,degul degul
Wobbling unsteadily,비틀비틀,biteul biteul
Staggering around,휘청휘청,hwicheong hwicheong
Walking briskly,성큼성큼,seongkeum seongkeum
Tiptoeing quietly,살금살금,salgeum salgeum
Running quickly,다다닥,dadadak
Jumping up and down,팔짝팔짝,paljjak paljjak
Knocking on a door,똑똑,ttokttok
Sound of a bell ringing,딸랑딸랑,ttalrang ttalrang
Sound of phone ringing,따르르릉,ttareurereung
Sound of ticking clock,째깍째깍,jjaekak jjaekak
Sound of snoring,드르렁,deurereong
Sound of hiccupping,딸꾹딸꾹,ttalkkuk ttalkkuk
Sound of sneezing,에취,echwi
Sound of coughing,콜록콜록,kollog kollog
Sound of a door slamming,쾅,kwang
Sound of something breaking,와장창,wajangchang
Sound of an explosion,펑,peong
Soft and fluffy texture,폭신폭신,poksin poksin
Smooth and slippery,미끌미끌,mikkeul mikkeul
Sticky texture,끈적끈적,kkeunjeok kkeunjeok
Rough and bumpy,울퉁불퉁,ultung bultung
Soft and squishy,말랑말랑,mallang mallang
Crispy texture,바삭바삭,basak basak
Chewy texture,쫄깃쫄깃,jjolgit jjolgit
Moist and damp,촉촉,chokchok
Dry and parched,바싹바싹,bassak bassak
Warm and cozy,포근포근,pogeun pogeun
