english_text,korean_text,romanization
Plant,식물,singmul
Flower,꽃,kkot
Leaf,잎,ip
Root,뿌리,ppuri
Stem,줄기,julgi
Seed,씨앗,ssiat
Soil,흙,heuk
Pot,화분,hwabun
Watering,물주기,muljugi
Sunlight,햇빛,haetbit
Fertilizer,비료,biryo
Garden,정원,jeongwon
Vegetable garden,텃밭,teotbat
Herb,허브,heobeu
Succulent,다육이,dayugi
Cactus,선인장,seoninjang
Monstera,몬스테라,monseutera
Pothos,포토스,potoseu
Orchid,난초,nancho
Bamboo,대나무,daenamu
Fern,고사리,gosari
Ivy,아이비,aibi
Aloe vera,알로에,alloe
Rubber plant,고무나무,gomunamu
Money tree,금전수,geumjeonsu
Snake plant,산세베리아,sanseiberia
Peace lily,스파티필름,seupatipilleum
Lavender,라벤더,rabendeo
Rosemary,로즈마리,rojeumari
Basil,바질,bajil
Mint,민트,minteu
Green onion,파,pa
Chili pepper,고추,gochu
Lettuce,상추,sangchu
Perilla,깻잎,kkaennip
Sprout,새싹,saessak
Bud,꽃봉오리,kkotbongori
Bloom,개화,gaehwa
Wilt,시들다,sideulda
Prune,가지치기,gajichigi
Repot,분갈이,bungari
Indoor plant,실내 식물,sillae singmul
Outdoor plant,실외 식물,siroe singmul
Air purifying plant,공기 정화 식물,gonggi jeonghwa singmul
Hanging plant,행잉 식물,haenging singmul
Climbing plant,덩굴 식물,deongul singmul
Aquatic plant,수생 식물,susaeng singmul
Annual plant,일년초,illyeoncho
Perennial plant,다년초,danyeoncho
Wild flower,야생화,yasaenghwa
Weed,잡초,japcho
Photosynthesis,광합성,gwanghapseong
Oxygen,산소,sanso
Carbon dioxide,이산화탄소,isanhwatanso
Greenhouse,온실,onsil
Planting,심기,simgi
Transplanting,옮겨 심기,omgyeo simgi
The plant is growing well,식물이 잘 자라요,singmuri jal jarayo
It needs more water,물을 더 줘야 해요,mureul deo jwoya haeyo
It needs more sunlight,햇빛이 더 필요해요,haetbichi deo piryohaeyo
