english_text,korean_text,romanization
I need to do laundry,빨래를 해야 해요,ppallae-reul haeya haeyo
Where is the nearest laundromat,가장 가까운 빨래방이 어디에요,gajang gakkaun ppallae-bangi eodieyo
I'll take this to the dry cleaner,이것을 세탁소에 맡길게요,igeoseul setakso-e matgilgeyo
How long does dry cleaning take,세탁이 얼마나 걸려요,setagi eolmana geollyeoyo
Can you remove this stain,이 얼룩을 지울 수 있어요,i eollugeul jiul su isseoyo
This is a coffee stain,커피 얼룩이에요,keopi eollugieyo
This is a grease stain,기름 얼룩이에요,gireum eollugieyo
Be careful this is delicate fabric,이것은 섬세한 소재예요 조심해주세요,igeoseun seomsaehan sojaeyeyo josimhaejuseyo
Dry clean only,드라이클리닝만 가능해요,deuraikeulli-ningman ganeunghaeyo
Hand wash only,손세탁만 가능해요,sonsetangman ganeunghaeyo
Machine washable,세탁기로 빨 수 있어요,setakgiro ppal su isseoyo
Wash in cold water,찬물로 세탁하세요,chanmullo setakhaseyo
Don't use hot water,뜨거운 물을 쓰지 마세요,tteugeoun mureul sseuji maseyo
Separate whites and colors,흰색과 색깔 있는 것을 분류하세요,huinsaekgwa saekkal inneun geoseul bullyuhaseyo
I'll wash the whites separately,흰 빨래를 따로 할게요,huin ppallae-reul ttaro halgeyo
Use fabric softener,섬유유연제를 쓰세요,seomyuyuyeonjereul sseuseyo
Don't use too much detergent,세제를 너무 많이 넣지 마세요,sejereul neomu mani neoji maseyo
The washing machine is broken,세탁기가 고장났어요,setakgiga gojangna-sseoyo
I need to buy laundry detergent,세탁 세제를 사야 해요,setak sejereul saya haeyo
Liquid detergent is easier to use,액체 세제가 사용하기 편해요,aekche sejega sayonghagi pyeonhaeyo
I use laundry pods,세탁 캡슐을 써요,setak kaepsyureul sseoyo
Don't overload the washing machine,세탁기에 너무 많이 넣지 마세요,setakgie neomu mani neoji maseyo
Set the cycle to delicate,세탁 코스를 약하게 설정하세요,setak kosureul yakhage seoljeong-haseyo
The spin cycle is too strong,탈수가 너무 세요,talsuga neomu seyo
I need to dry my clothes,빨래를 말려야 해요,ppallae-reul mallyeoya haeyo
Hang the laundry out to dry,빨래를 널어 말리세요,ppallae-reul neoreo malliseyo
Use the dryer,건조기를 사용하세요,geonjogireul sayonghaseyo
Don't put wool in the dryer,울은 건조기에 넣지 마세요,ureun geonjogi-e neoji maseyo
My clothes shrank in the wash,옷이 세탁 후 줄었어요,osi setak hu jureosseoyo
The colors bled,색이 빠졌어요,saegi ppajyeosseoyo
I need to iron this shirt,이 셔츠를 다림질해야 해요,i syeocheu-reul darimjilhaeya haeyo
Where is the iron,다리미가 어디에 있어요,darimiga eodie isseoyo
Use low heat for synthetic fabrics,합성 섬유는 낮은 온도로 다리세요,hapseong seomyuneun najeun ondoro dariseyo
I use a steamer instead of an iron,다리미 대신 스티머를 써요,darimi daesin seutimeo-reul sseoyo
The steam gets wrinkles out,스팀이 구김을 펴줘요,seutimi gugimeul pyeojwoyo
Fold the laundry neatly,빨래를 깔끔하게 개세요,ppallae-reul kkalkkeum-hage gaeseyo
I hate folding laundry,빨래 개는 것이 싫어요,ppallae gaeneun geosi sireoyo
Put the clothes in the closet,옷을 옷장에 넣으세요,oseul otjange neoeuseyo
Hang the coat on a hanger,코트를 옷걸이에 걸으세요,koteureul otgeorie georeuseyo
I need more hangers,옷걸이가 더 필요해요,otgeoriga deo piryohaeyo
The laundry basket is full,빨래 바구니가 가득 찼어요,ppallae baguniga gadeuk chasseoyo
I do laundry twice a week,일주일에 두 번 빨래를 해요,iljuire du beon ppallae-reul haeyo
This suit needs to be pressed,이 정장은 다림질해야 해요,i jeongjangeun darimjilhaeya haeyo
How much for dry cleaning a suit,정장 세탁 비용이 얼마예요,jeongjang setak biyongi eolmayeyo
I'll pick it up tomorrow,내일 찾으러 올게요,naeil chajeureo olgeyo
Is my laundry ready,제 세탁물 다 됐어요,je setakmul da dwaesseoyo
Here is the receipt,여기 영수증이에요,yeogi yeongsujeungieyo
Please starch this shirt,이 셔츠에 풀을 먹여주세요,i syeocheu-e pureul meogyeojuseyo
Express service costs extra,급행 서비스는 추가 비용이 있어요,geuphaeng seobiseuneun chuga biyongi isseoyo
Can you fix the button too,단추도 달아주실 수 있어요,dancuudo darajusil su isseoyo
Check the care label before washing,세탁 전에 관리 라벨을 확인하세요,setak jeone gwanri rabeoreul hwaginhaseyo
Always check your pockets before washing,세탁 전에 항상 주머니를 확인하세요,setak jeone hangsang jumeoni-reul hwaginhaseyo
I left my wallet in my pants,바지에 지갑을 두고 빨았어요,bajie jigabeul dugo pparasseoyo
The laundry smells fresh,빨래에서 좋은 냄새가 나요,ppallae-eseo joeun naemsaega nayo
Sun-dried laundry smells the best,햇볕에 말린 빨래가 제일 좋아요,haetbyeote mallin ppallae-ga jeil joayo
Laundry day is never fun,빨래하는 날은 즐겁지 않아요,ppallae-haneun nareun jeulgeopji anayo
But clean clothes feel great,하지만 깨끗한 옷은 기분이 좋아요,hajiman kkaekkeutan oseun gibuni joayo
Take good care of your clothes,옷을 잘 관리하세요,oseul jal gwanrihaseyo
Proper care extends the life of clothes,올바른 관리가 옷의 수명을 늘려요,olbareun gwanriga osui sumyeongeul neullyeoyo
I love freshly laundered clothes,갓 빨래한 옷이 좋아요,gat ppallae-han osi joayoTaking care of clothes makes them last,옷을 잘 관리하면 오래 입을 수 있어요,oseul jal gwanrihamyeon orae ibeul su isseoyo
