english_text,korean_text,romanization
Are you free this weekend?,이번 주말 시간 있어요?,ibeon jumal sigan isseoyo
Let's make plans,약속 잡자,yaksok japja
When are you available?,언제 시간 돼요?,eonje sigan dwaeyo
How about tomorrow?,내일 어때요?,naeil eottaeyo
Let's meet at three o'clock,세 시에 만나요,se sie mannayo
Where should we meet?,어디서 만날까요?,eodiseo mannalkkayo
Let's meet in front of the station,역 앞에서 만나요,yeok apeseo mannayo
I'll be there on time,제시간에 갈게요,jesigane galgeyo
I might be a little late,조금 늦을 수 있어요,jogeum neujeul su isseoyo
Something came up,일이 생겼어요,iri saenggyeosseoyo
Can we reschedule?,다음에 만날 수 있을까요?,daeume mannal su isseulkkayo
I have to cancel,취소해야 할 것 같아요,chwisoaeya hal geot gatayo
I'm sorry I can't make it,못 갈 것 같아 미안해요,mot gal geot gata mianhaeyo
Rain check?,다음에 하자?,daeume haja
Let's do it next week,다음 주에 하자,daeum jue haja
Do you want to grab coffee?,커피 마실래요?,keopi masillaeyo
Let's have dinner together,같이 저녁 먹어요,gachi jeonyeok meogeoyo
Want to go see a movie?,영화 보러 갈래요?,yeonghwa boreo gallaeyo
Let's go shopping,쇼핑하러 가자,syopinghareo gaja
Want to go for a walk?,산책할래요?,sanchaekhallaeyo
I'll pick you up,데리러 갈게요,derireo galgeyo
Meet me at the cafe,카페에서 만나요,kapeseo mannayo
What time works for you?,몇 시가 좋아요?,myeot siga joayo
How about noon?,점심때 어때요?,jeomsimttae eottaeyo
Let's decide later,나중에 정하자,najunge jeonghaja
I'll let you know,알려줄게요,allyeojulgeyo
Confirm with me later,나중에 확인해 줘요,najunge hwaginhae jwoyo
I already have plans,이미 약속이 있어요,imi yaksogi isseoyo
I'm free all day,하루 종일 시간 있어요,haru jongil sigan isseoyo
Let's meet up soon,곧 만나요,got mannayo
It's been a while,오랜만이에요,oraenmanieyo
I'll come to you,내가 갈게요,naega galgeyo
Let's meet halfway,중간에서 만나요,jungganeseo mannayo
Is this place okay?,이 장소 괜찮아요?,i jangso gwaenchanayo
I made a reservation,예약했어요,yeyakhaesseoyo
What should we do?,뭐 할까요?,mwo halkkayo
Do you have any suggestions?,추천할 데 있어요?,chucheonhal de isseoyo
That sounds fun,재밌겠다,jaemitgetda
I'm looking forward to it,기대돼요,gidaedwaeyo
See you then,그때 봐요,geuttae bwayo
Don't forget our plans,약속 잊지 마요,yaksok itji mayo
I'll be waiting,기다리고 있을게요,gidarigo isseulgeyo
Are we still on for today?,오늘 약속 그대로야?,oneul yaksok geudaeroya
Where's the exact location?,정확한 위치가 어디예요?,jeonghwakhan wichiga eodiyeyo
Send me the directions,길 알려줘요,gil allyeojwoyo
I'm on my way now,지금 가는 중이에요,jigeum ganeun jungieyo
I just arrived,방금 도착했어요,banggeum dochakhaesseoyo
Where are you?,어디예요?,eodiyeyo
I'm here,여기 있어요,yeogi isseoyo
Sorry to keep you waiting,기다리게 해서 미안해요,gidarige haeseo mianhaeyo
How long will it take?,얼마나 걸려요?,eolmana geollyeoyo
Should I invite more people?,더 부를까요?,deo bureulkkayo
It's just us two,우리 둘이서만,uri duriseman
The more the merrier,많을수록 좋지,maneulseurok jotji
Let's do it another time,다른 날에 하자,dareun nare haja
Thank you for coming,와줘서 고마워요,wajwoseo gomawoyo
I had a great time,정말 재밌었어요,jeongmal jaemisseosseoyo
Let's do this again,또 하자,tto haja
Same time next week?,다음 주 같은 시간?,daeum ju gateun sigan
Get home safely,잘 들어가요,jal deureogayo
