english_text,korean_text,romanization
I'm going to school,학교에 가요,hakgyoe gayo
Class starts at nine,수업이 아홉 시에 시작해요,sueobi ahop sie sijakaeyo
I have homework,숙제가 있어요,sukjega isseoyo
I finished my homework,숙제 다 했어요,sukje da haesseoyo
I have an exam tomorrow,내일 시험이에요,naeil siheomieyo
I'm studying for the test,시험공부 중이에요,siheomgongbu jungieyo
I passed the exam,시험에 합격했어요,siheome hapgyeokhaesseoyo
I failed the exam,시험에 떨어졌어요,siheome tteoreojyeosseoyo
I got a good grade,성적이 좋았어요,seongjeogi joasseoyo
What's your major?,전공이 뭐예요?,jeongongi mwoyeyo
I'm majoring in Korean,한국어를 전공해요,hangugeoreul jeongonghaeyo
I'm a college student,대학생이에요,daehaksaengieyo
I'm a high school student,고등학생이에요,godeunghaksaengieyo
Which school do you go to?,어느 학교 다녀요?,eoneu hakgyo danyeoyo
I graduated last year,작년에 졸업했어요,jangnyeone joreophaesseoyo
School is hard,학교가 힘들어요,hakgyoga himdeuleoyo
I like this subject,이 과목을 좋아해요,i gwamogeul joahahaeyo
I don't understand this,이게 이해가 안 돼요,ige ihaega an dwaeyo
Can you explain it again?,다시 설명해 주실래요?,dasi seolmyeonghae jusillaeyo
I'm taking notes,필기하고 있어요,pilgihago isseoyo
The teacher is nice,선생님이 좋아요,seonsaengnimi joayo
The professor is strict,교수님이 엄격해요,gyosunimi eomgyeokhaeyo
I'm late for class,수업에 늦었어요,sueobe neujeosseoyo
I skipped class,수업 빠졌어요,sueop ppajyeosseoyo
I need to go to the library,도서관에 가야 해요,doseogwane gaya haeyo
I'm studying at the library,도서관에서 공부하고 있어요,doseogwaneseo gongbuhago isseoyo
Can I borrow this book?,이 책 빌릴 수 있어요?,i chaek billil su isseoyo
I need to return this book,이 책 반납해야 해요,i chaek bannaphaeya haeyo
When is the assignment due?,과제 마감이 언제예요?,gwaje magami eonjeyeyo
I joined a study group,스터디 그룹에 들어갔어요,seoteodi geurupe deureogasseoyo
Let's study together,같이 공부하자,gachi gongbuhaja
I'm cramming for the exam,벼락치기 공부 중이에요,byeorakchigi gongbu jungieyo
I pulled an all-nighter,밤을 새웠어요,bameul saewosseoyo
I'm so tired from studying,공부해서 너무 피곤해요,gongbuhaeseo neomu pigonhaeyo
I need a tutor,과외 선생님이 필요해요,gwaoe seonsaengnimi piryohaeyo
I'm preparing for the entrance exam,입시 준비 중이에요,ipsi junbi jungieyo
School vacation starts soon,곧 방학이에요,got banghagieyo
I'm on summer break,여름 방학이에요,yeoreum banghagieyo
I'm on winter break,겨울 방학이에요,gyeoul banghagieyo
I want to study abroad,유학 가고 싶어요,yuhak gago sipeoyo
I'm an exchange student,교환 학생이에요,gyohwan haksaengieyo
What's the school uniform like?,교복이 어때요?,gyobogi eottaeyo
I lost my student ID,학생증을 잃어버렸어요,haksaengjeungeul ireobeoryeosseoyo
School lunch is good today,오늘 급식이 맛있어요,oneul geupssigi masisseoyo
I signed up for a club,동아리에 가입했어요,dongarie gaiphaesseoyo
What club are you in?,무슨 동아리에 있어요?,museun dongarie isseoyo
I'm in the drama club,연극 동아리에 있어요,yeongeuk dongarie isseoyo
The school festival is fun,축제가 재밌어요,chukjega jaemisseoyo
I have a presentation today,오늘 발표가 있어요,oneul balpyoga isseoyo
I'm nervous about the presentation,발표가 떨려요,balpyoga tteollyeoyo
Graduation is next month,다음 달에 졸업이에요,daeum dare jireopieyo
I received a scholarship,장학금을 받았어요,janghakgeumeul badasseoyo
I'm applying to universities,대학교에 지원하고 있어요,daehakgyoe jiwonhago isseoyo
My GPA is high,학점이 높아요,hakjeomi nopayo
I love school life,학교생활이 좋아요,hakgyosaenghwari joayo
I'm attending an online class,온라인 수업 듣고 있어요,onlain sueop deutgo isseoyo
Education is important,교육이 중요해요,gyoyugi jungyohaeyo
I want to keep learning,계속 배우고 싶어요,gyesok baeugo sipeoyo
Learning is fun,배우는 게 재밌어요,baeuneun ge jaemisseoyo
I believe in lifelong learning,평생 학습을 믿어요,pyeongsaeng haksseubeul mideoyo
