english_text,korean_text,romanization
I'm Attorney Woo Young-woo,저는 우영우 변호사입니다,jeoneun uyeongwu byeonhosaimnida
I love whales,저는 고래를 좋아합니다,jeoneun goraereul joahamnida
I'm on the autism spectrum,저는 자폐 스펙트럼이에요,jeoneun japye seupekteureumieyo
I object your honor,이의 있습니다 재판장님,iui itsseumnida jaepanjangnim
The evidence shows,증거가 보여주듯이,jeungeoga boyeojudeusi
My client is innocent,제 의뢰인은 무죄입니다,je uiroeinneun mujoeimnida
I prepared for this case,이 사건을 준비했습니다,i sagoneul junbihaetsseumnida
Let me explain my argument,제 주장을 설명하겠습니다,je jujangeul seolmyeonghagesseumnida
Everyone is equal before the law,법 앞에 만인은 평등합니다,beop ape manineun pyeongdeunghamnida
I found a precedent,판례를 찾았습니다,pallryereul chajatsseumnida
Please review this document,이 서류를 검토해 주세요,i seoryureul geomtohae juseyo
The defendant's rights must be protected,피고인의 권리는 보호돼야 합니다,pigoineui gwollineun bohodwaeya hamnida
I have a different perspective,저는 다른 시각을 가지고 있어요,jeoneun dareun sigageul gajigo isseoyo
Don't judge by appearances,겉모습으로 판단하지 마세요,geotmoseubeuro pandanhaji maseyo
I'll prove it in court,법정에서 증명하겠습니다,beopjeongeseo jeungmyeonghagesseumnida
This case is important to me,이 사건은 저에게 중요합니다,i sagoneun jeoege jungyohamnida
I memorized all the details,모든 세부사항을 외웠어요,modeun sebusahangeul oewosseoyo
Spring rolls are delicious,김밥은 맛있어요,gimbapeun masisseoyo
I think differently but that's okay,다르게 생각하지만 괜찮아요,dareuge saenggakhajiman gwaenchanayo
Let me try a different approach,다른 접근법을 시도해 볼게요,dareun jeopgeunbeobeul sidohae bolgeyo
I noticed something others missed,다른 사람들이 놓친 걸 발견했어요,dareun saramdeuri nocchin geol balgyeonhaesseoyo
My name is a palindrome,제 이름은 앞으로 읽어도 뒤로 읽어도 우영우예요,je ireumeun apeuro ilgeodo dwiro ilgeodo uyeongwuyeyo
Hard work beats talent,노력은 재능을 이겨요,noryeogeun jaeneungeul igyeoyo
I learn things quickly,저는 빨리 배워요,jeoneun ppalli baeweoyo
Can I take this case?,이 사건을 맡아도 될까요?,i sagoneul matado doelkkayo
I want to help people,사람들을 돕고 싶어요,saramdeureul dopgo sipeoyo
Legal interpretation matters,법률 해석이 중요해요,beomnyul haeseogiijungyohaeyo
I prepared a summary,요약을 준비했어요,yoyageul junbihaesseoyo
Cross-examination is starting,반대 심문을 시작합니다,bandae simmuneul sijakhamnida
The witness is lying,증인이 거짓말을 하고 있어요,jeungini geojinmareul hago isseoyo
I need more time to investigate,조사할 시간이 더 필요합니다,josahal sigani deo piryohamnida
This is a constitutional issue,이것은 헌법적 문제입니다,igeoseun heonbeopjeok munyeimnida
Justice should be fair for everyone,정의는 모두에게 공정해야 해요,jeongeuineun moduege gongjeonghaeyahaeyo
I'll do my best,최선을 다하겠습니다,choesoneul dahagesseumnida
Please listen to my closing argument,최종 변론을 들어주세요,choejong byeolloneul deureojuseyo
I found a legal loophole,법적 허점을 발견했어요,beopjeok heojjeomeul balgyeonhaesseoyo
The truth must come out,진실이 밝혀져야 합니다,jinsiri balkhyeojyeoya hamnida
I respect the court's decision,법원의 결정을 존중합니다,beobwoneui gyeoljeongeul jonjunghamnida
Being different is not wrong,다른 건 틀린 게 아니에요,dareun geon teullin ge anieyo
I can solve this problem,이 문제를 해결할 수 있어요,i munyereul haegyeolhal su isseoyo
Don't worry I have a plan,걱정 마세요 계획이 있어요,geokjeong maseyo gyehoegi isseoyo
I'll file an appeal,항소하겠습니다,hangsohagesseumnida
The law is clear on this,이 부분에 대해 법은 명확합니다,i bubune daehae beobeun myeonghwakhamnida
I need to visit the scene,현장을 방문해야 합니다,hyeonjangeul bangmunhaeya hamnida
Please trust my judgment,제 판단을 믿어 주세요,je pandaneul mideo juseyo
I analyzed all the evidence,모든 증거를 분석했습니다,modeun jeungeoreul bunseokhaeatsseumnida
This contract is void,이 계약은 무효입니다,i gyeyageun muhyoimnida
The statute of limitations has passed,공소시효가 지났습니다,gongsosihyoga jinatsseumnida
I request a recess,휴정을 요청합니다,hyujeonguel yocheonghamnida
My client has an alibi,제 의뢰인은 알리바이가 있습니다,je uiroeinneun allibiga itsseumnida
I'll submit the evidence,증거를 제출하겠습니다,jeungeoreul jechulhagesseumnida
Whales are amazing creatures,고래는 놀라운 생물이에요,goraeneun nollaun saengmurieyo
Everyone deserves a fair trial,모두 공정한 재판을 받을 권리가 있어요,modu gongjeonghan jaepaneul badeul gwolliga isseoyo
I prepared thoroughly,철저히 준비했어요,cheoljeohi junbihaesseoyo
The penalty is too severe,형벌이 너무 가혹합니다,hyeongbeori neomu gahokhamnida
I'll represent you well,잘 변론해 드리겠습니다,jal byeollonhae deurigesseumnida
A small detail can change everything,작은 디테일이 모든 걸 바꿀 수 있어요,jageun diteiri modeun geol bakkul su isseoyo
I reviewed all the case files,모든 사건 기록을 검토했습니다,modeun sageon girrogeul geomtohaetsseumnida
The law protects the weak,법은 약자를 보호합니다,beobeun yakjareul bohohamnida
I'll fight for justice,정의를 위해 싸우겠습니다,jeongeui wihae ssaugetsseumnidaEvery case teaches me something
