english_text,korean_text,romanization
That's awesome,대박,daebak
So cute,귀여워,gwiyeowo
For real,레알,real
It's a scam / ripoff,사기야,sagiya
I'm cringing,소름 끼쳐,soreum kkichyeo
That's so lame,노잼이야,nojaemiya
It's so funny,꿀잼이야,kkuljaemiya
I'm so done,아 진짜,a jinjja
Whatever,뭐 어쩔,mwo eojjeol
TMI (too much information),티엠아이,tiemrai
Totally my style,완전 내 스타일,wanjeon nae seutail
My bias / favorite,최애,choeae
It's a vibe,분위기 좋다,bunwigi jotda
No joke,진짜 실화,jinjja silhwa
So relatable,공감이야,gonggamiya
Heart fluttering,심쿵,simkung
Brain freeze / mind blown,멘붕,menbung
Going crazy,미쳤어,michyeosseo
Legendary,레전드,rejendeu
Very very (emphasis),겁나,geomna
I'm jealous,부럽다,bureopda
So trendy,힙하다,hiphada
I'm touched,감동이야,gamdongi ya
My heart is melting,심장 녹는다,simjang nongneunda
Best thing ever,인생템이야,insaengtemiya
Life is tough,현생이 힘들어,hyeonsaengi himdeulleo
I have no energy,기력이 없어,giryeogi eopseo
Core memory,인생짤이야,insaengjjariya
I feel attacked,뜨끔하다,tteukkeum hada
Respect,리스펙,riseupcek
I'm living for this,살맛 난다,salmat nanda
Take my money,돈 내놔,don naenwa
It hits different,남다르다,namdareuda
So satisfying,속이 시원하다,sogi siwonhada
I'm out of it,멍때리는 중,meongttaerineun jung
What a flex,플렉스야,peullekseuya
Main character energy,주인공이네,juingongine
Dead serious,개진심,gaejinsim
That's fire,불 붙었다,bul buteotda
Big mood,공감 백배,gonggam baekbae
Slay,찢었다,jjijeotda
So aesthetic,감성적이다,gamseongjeogida
Plot twist,반전이다,banjeonida
Fan behavior,덕질이야,deokjiriya
Iconic,아이코닉하다,aiko nikhada
No filter,쌩얼이야,ssaengeoriya
Life hack,꿀팁이야,kkultibiya
So random,뜬금없다,tteungeumeoptda
Let's get it,레츠 고,recheu go
Zero motivation,의욕 제로,uiyok jero
This is a masterpiece,갓작이다,gatjagida
I'm obsessed,완전 빠졌어,wanjeon ppajyeosseo
Old school,올드스쿨이야,oldeuseukuriya
I'm shook,충격이야,chunggyeogiya
Peak performance,리즈 시절,rijeu sijeol
Lowkey like it,은근히 좋아,eungeunhi joa
So extra,오버하네,obeohane
Chemistry,케미가 좋다,kemiga jotda
I stan,덕질 한다,deokjil handa
Living my best life,인생 살고 있다,insaeng salgo itda
