english_text,korean_text,romanization
Let's go to Gangnam,강남 가자,gangnam gaja
Hongdae is fun,홍대 재밌다,hongdae jaemitda
Myeongdong is for shopping,명동은 쇼핑 천국이야,myeongdongeun syoping cheongugiya
Let's visit Gyeongbokgung,경복궁에 가자,gyeongbokgunge gaja
Namsan Tower is romantic,남산타워 로맨틱해,namsantawo romaentikae
Let's go to Bukchon Hanok Village,북촌한옥마을 가자,bukchonhanongmaeul gaja
Itaewon has good restaurants,이태원 맛집 많아,itaewon matjip mana
Let's walk along Cheonggyecheon,청계천 산책하자,cheonggyecheon sanchaek haja
Insadong has traditional shops,인사동에 전통 가게 많아,insadonge jeontong gage mana
Let's go to Dongdaemun market,동대문시장 가자,dongdaemun sijang gaja
The Han River is beautiful,한강 경치가 좋아,hangang gyeongchiga joa
Let's ride bikes at the Han River,한강에서 자전거 타자,hangangeseo jajeongeo taja
Let's have chicken by the river,한강에서 치킨 먹자,hangangeseo chikin meokja
Take the subway line 2,2호선 타세요,iho seon taseyo
Transfer at this station,이 역에서 환승하세요,i yeogeseo hwanseunghaseyo
How many stops from here,여기서 몇 정거장이에요,yeogiseo myeot jeonggeojangieyo
Get off at the next stop,다음 역에서 내리세요,daeum yeogeseo naeriseyo
Where is the exit,출구가 어디예요,chulguga eodiyeyo
Is this the right direction,이 방향이 맞아요?,i banghyangi majayo
The subway is crowded,지하철이 복잡해요,jihacheori bokjaphaeyo
Let's take a taxi,택시 타자,taeksi taja
How much to Gangnam,강남까지 얼마예요,gangnamkkaji eolmayeyo
Call a ride,차 불러,cha bulleo
Where should I drop you off,어디서 내려드릴까요,eodiseo naeryeodeurilkkayo
This area is trendy,이 동네 핫해,i dongne hathae
Let's go to a cafe,카페 가자,kape gaja
This cafe is famous,이 카페 유명해,i kape yumyeonghae
Let's check out this spot,여기 구경하자,yeogi gugyeonghaja
Take a photo here,여기서 사진 찍자,yeogiseo sajin jjikja
The view is amazing,뷰가 대박이다,byuga daebagida
Where is the tourist info,관광안내소 어디예요,gwangwangannaso eodiyeyo
I need a map,지도가 필요해요,jidoga piryohaeyo
Is it far from here,여기서 멀어요?,yeogiseo meoreoyo
It's within walking distance,걸어갈 수 있어요,georeogal su isseoyo
Let's rent a hanbok,한복 빌리자,hanbok billija
Wearing hanbok gets free entry,한복 입으면 무료 입장,hanbok ibeumyeon muryo ipjang
The palace is beautiful,궁궐이 아름다워요,gunggwori areumdawoyo
Let's go to Lotte World,롯데월드 가자,rotdewoldeu gaja
Let's visit COEX Mall,코엑스몰 가자,koekseumol gaja
Starfield Library is cool,별마당도서관 멋지다,byeolmadang doseogwan meotjida
Let's try street food,길거리 음식 먹자,gilgeori eumsik meokja
Gwangjang Market is famous,광장시장 유명해,gwangjang sijang yumyeonghae
Seoul has great nightlife,서울 야경이 멋져,seoul yagyeongi meotjyeo
Let's see N Seoul Tower at night,밤에 남산타워 보자,bame namsantawo boja
Where is the bus stop,버스 정류장 어디예요,beoseu jeongnyujang eodiyeyo
This bus goes to Gangnam,이 버스 강남 가요,i beoseu gangnam gayo
Tap your card,카드 찍으세요,kadeu jjikeuseyo
Press the stop button,하차 벨 누르세요,hacha bel nureuseyo
Let's go to a rooftop bar,루프탑 바 가자,rupeotap ba gaja
Seoul at night is beautiful,서울 야경 대박,seoul yagyeong daebak
The city never sleeps,서울은 잠들지 않아,seoul eun jamdeulji ana
Let's explore the alleyways,골목길 탐험하자,golmokgil tamheomhaja
This neighborhood is quiet,이 동네 조용해,i dongne joyonghae
Let's visit Changdeokgung,창덕궁 가보자,changdeokgung gaboja
I love Seoul,나는 서울이 좋아,naneun seouri joa
Where is the nearest station,가장 가까운 역이 어디예요,gajang gakkaun yeogi eodiyeyo
Seoul is so big,서울 진짜 크다,seoul jinjja keuda
There's so much to see,볼 거 너무 많다,bol geo neomu manta
I want to come back again,또 오고 싶다,tto ogo sipda
Best trip ever,최고의 여행이었어,choegoui yeohaengieosseo
I'll never forget this,절대 못 잊을 거야,jeoldae mot ijeul geoya
