english_text,korean_text,romanization
Environment,환경,hwangyeong
Climate change,기후 변화,gihu byeonhwa
Global warming,지구 온난화,jigu onnanhwa
Carbon emissions,탄소 배출,tanso baechul
Carbon footprint,탄소 발자국,tanso baljaguk
Greenhouse gas,온실 가스,onsil gaseu
Air pollution,대기 오염,daegi oyeom
Water pollution,수질 오염,sujil oyeom
Soil pollution,토양 오염,toyang oyeom
Fine dust,미세먼지,misemeonji
Smog,스모그,seumogeu
Ozone layer,오존층,ojonchung
Deforestation,산림 벌채,sallim beolchae
Ecosystem,생태계,saengtaegye
Biodiversity,생물 다양성,saengmul dayangseong
Endangered species,멸종위기종,myeoljongwigijong
Wildlife,야생동물,yasaengdongmul
Habitat,서식지,seosikji
Conservation,보전,bojeon
Sustainability,지속 가능성,jisok ganeungseong
Renewable energy,재생 에너지,jaesaeng eneoji
Solar energy,태양 에너지,taeyang eneoji
Wind energy,풍력 에너지,pungnyeok eneoji
Hydropower,수력 에너지,suryeok eneoji
Nuclear energy,원자력 에너지,wonjalyeok eneoji
Electric car,전기차,jeongicha
Recycling,재활용,jaehwaryong
Waste reduction,쓰레기 줄이기,sseuregi jurigi
Zero waste,제로 웨이스트,jero weiseuteu
Reusable bag,장바구니,jangbaguni
Disposable plastic,일회용 플라스틱,ilhoeyong peullaseutik
Eco-friendly product,친환경 제품,chinhwangyeong jepum
Organic food,유기농 식품,yuginong sikpum
Carbon neutral,탄소 중립,tanso jungnip
Green energy,녹색 에너지,noksaek eneoji
Environmental protection,환경 보호,hwangyeong boho
Nature conservation,자연 보전,jayeon bojeon
National park,국립공원,gungnipgongwon
Clean water,깨끗한 물,kkaekkeutan mul
Clean air,맑은 공기,malgeun gonggi
Tree planting,나무 심기,namu simgi
Beach cleanup,해변 정화,haebyeon jeonghwa
Environmental awareness,환경 의식,hwangyeong uisik
Eco-friendly lifestyle,친환경 생활,chinhwangyeong saenghwal
We need to protect the earth,지구를 보호해야 해요,jigureul bohohaeya haeyo
Reduce plastic use,플라스틱 사용을 줄이세요,peullaseutik sayongeul juriseyo
Save energy,에너지를 절약하세요,eneojireul jeolyakaseyo
Use public transportation,대중교통을 이용하세요,daejunggyotongeul iyonghaseyo
Separate your trash,분리수거 하세요,bunlisugeo haseyo
Plant more trees,나무를 더 심어요,namureul deo simeoyo
Environmental education,환경 교육,hwangyeong gyoyuk
Climate crisis,기후 위기,gihu wigi
Sea level rise,해수면 상승,haesuymeon sangseung
Glacier melting,빙하 녹음,bingha nogeum
Drought,가뭄,gamum
Flood,홍수,hongsu
Natural disaster,자연재해,jayeonjaeae
Every small action matters,작은 실천이 중요해요,jageun silcheoni jungyohaeyo
For future generations,미래 세대를 위해,mirae sedaereul wihae
Let's protect our planet,지구를 지키자,jigureul jikija
Going green,친환경으로 전환,chinhwangyeongeuro jeonhwan
