english_text,korean_text,romanization
What are you doing? (Busan),뭐 하노?,mwo hano
Come here (Busan),이리 온나,iri onna
Are you crazy? (Busan),니 미쳤나?,ni michyeonna
It's really delicious (Busan),진짜 맛있다 아이가,jinjja masitda aiga
I don't know (Busan),모르겠다 아이가,moreugetda aiga
Don't do that (Busan),그라지 마라,geuraji mara
I'm hungry (Busan),배고프다 아이가,baegopuda aiga
Let's go (Busan),가자 가자,gaja gaja
That's ridiculous (Busan),말도 안 된다 아이가,maldo an doenda aiga
Are you serious? (Busan),진짜가?,jinjjaga
Stop it (Busan),고만해라,gomanhera
It's cold (Busan),춥다 아이가,chupda aiga
Hurry up (Busan),빨리 해라,ppalli hera
I told you so (Busan),내가 캐쌌잖아,naega kaessatjana
It's so hot (Busan),덥다 아이가,deopda aiga
What did you say? (Busan),뭐라 카노?,mwora kano
I'm tired (Busan),힘들다 아이가,himdeulda aiga
That's right (Busan),맞다 아이가,matda aiga
Why are you like that? (Busan),와 그라노?,wa geurano
I'm scared (Busan),무섭다 아이가,museopda aiga
I don't want to (Busan),싫다 아이가,silta aiga
Come quickly (Busan),빨리 온나,ppalli onna
It's embarrassing (Busan),창피하다 아이가,changpihada aiga
Leave me alone (Busan),나 좀 내비두라,na jom naebidura
It's not like that (Busan),아이다 아이가,aida aiga
I'm angry (Busan),열받는다 아이가,yeolbanneunda aiga
Be quiet (Busan),시끄럽다 아이가,sikkeureobda aiga
I miss you (Busan),보고 싶다 아이가,bogo sipda aiga
Look at this (Busan),이거 봐라,igeo bwara
That person is weird (Busan),저 사람 이상하다,jeo saram isanghada
Don't cry (Busan),울지 마라,ulji mara
I'm going home (Busan),집에 간다,jibe ganda
It hurts (Busan),아프다 아이가,apeuda aiga
What's your name? (Busan),니 이름이 뭐꼬?,ni ireumi mwokko
I'll do it (Busan),내가 할게 아이가,naega halge aiga
That's funny (Busan),웃기다 아이가,utgida aiga
I'm sleepy (Busan),졸립다 아이가,jollipda aiga
Wait a moment (Busan),잠깐만 기다려라,jamkkanman gidaryeora
I really like it (Busan),진짜 좋다 아이가,jinjja jota aiga
Are you going? (Busan),가나?,gana
I'm sorry (Busan),미안하다 아이가,mianhada aiga
Sit down (Busan),앉아라,anjara
Have you eaten? (Busan),밥 뭇나?,bap munna
Where are you going? (Busan),어디 가노?,eodi gano
That's expensive (Busan),비싸다 아이가,bissada aiga
I'm full (Busan),배부르다 아이가,baebureuda aiga
What time is it? (Busan),몇 시고?,myeot sigo
That's amazing (Busan),대단하다 아이가,daedanhada aiga
I made a mistake (Busan),실수했다 아이가,silsuhaetda aiga
Good job (Busan),잘했다 아이가,jalhaetda aiga
Play with me (Busan),나랑 놀자 아이가,narang nolja aiga
It's too far (Busan),너무 멀다 아이가,neomu meolda aiga
Forget it (Busan),됐다 아이가,dwaetda aiga
Give it to me (Busan),나 다오,na dao
I understand (Busan),알겠다 아이가,algetda aiga
Who is it? (Busan),누구고?,nugugo
I'm bored (Busan),심심하다 아이가,simsimhada aiga
Do it properly (Busan),똑바로 해라,ttokbaro hera
You did well (Busan),잘한다 아이가,jalhanda aiga
It tastes bad (Busan),맛없다 아이가,maseopda aiga
