english_text,korean_text,romanization
What's your major?,전공이 뭐예요?,jeongongi mwoyeyo
I'm a freshman,저는 신입생이에요,jeoneun sinipsaengieyo
I'm a sophomore,저는 2학년이에요,jeoneun ihangnyeonieyo
I'm a junior,저는 3학년이에요,jeoneun samhangnyeonieyo
I'm a senior,저는 4학년이에요,jeoneun sahangnyeonieyo
I need to register for classes,수강 신청해야 해요,sugang sincheonghaeyahaeyo
The class is full,수업이 다 찼어요,sueobi da chasseoyo
I have a morning class,아침 수업이 있어요,achim sueobi isseoyo
Let's study together,같이 공부하자,gachi gongbuhaja
The exam is next week,시험이 다음 주야,siheomi daeum juya
I need to write a report,레포트 써야 해,repoteu sseoya hae
The professor is strict,교수님이 엄격해,gyosunimi eomgyeokhae
I'm going to the library,도서관에 갈 거야,doseogwane gal geoya
Let's eat at the cafeteria,학식 먹으러 가자,haksik meogeureo gaja
I joined a club,동아리에 들었어,dongarire deureosseo
The tuition is expensive,등록금이 비싸,deungrokgeumi bissa
I got a scholarship,장학금을 받았어,janghakgeumeul badasseo
I'm looking for a part-time job,알바 구하고 있어,alba guhago isseo
MT is this weekend,엠티가 이번 주말이야,emtiga ibeon jumariya
Let's have a group study,스터디 하자,seuteodi haja
I pulled an all-nighter,밤새 공부했어,bamsae gongbuhaesseo
The assignment is due tomorrow,과제가 내일까지야,gwajega naeilkkajiya
I skipped class today,오늘 수업 빠졌어,oneul sueop ppajyeosseo
The lecture was boring,강의가 지루했어,ganghuiga jiruhaesseo
I need to submit my thesis,논문을 제출해야 해,nonmuneul jechulhaeya hae
Campus is so big,캠퍼스가 너무 커,kaempeoseuga neomu keo
I live in a dormitory,기숙사에 살아,gisuksae sara
The midterm was hard,중간고사가 어려웠어,junggangosaga eoryeowosseo
The final exam is coming,기말고사가 다가와,gimalgosaga dagawa
I got an A in that class,그 과목에서 에이 받았어,geu gwamogeseo ei badasseo
I failed the exam,시험에 떨어졌어,siheome tteoreojyeosseo
Let's grab coffee,커피 한잔하자,keopi hanjanhaja
I changed my major,전공을 바꿨어,jeongongeul bakkwosseo
The professor is on sabbatical,교수님이 안식년이야,gyosunimi ansiknyeoniya
I need a recommendation letter,추천서가 필요해,chucheonseoga piryohae
I'm applying for graduate school,대학원에 지원해,daehagwone jiwonhae
I have a presentation today,오늘 발표가 있어,oneul balpyoga isseo
Group project is stressful,조별 과제가 스트레스야,jobyeol gwajega seutreseya
I'm double majoring,복수 전공 중이야,boksu jeongong jungiya
Let's go to freshman orientation,신입생 오리엔테이션 가자,sinipsaeng orienteisyeon gaja
I need to get my transcript,성적 증명서를 발급받아야 해,seongjeok jeungmyeongseoreul balgeupbadaya hae
The campus festival is fun,축제가 재미있어,chukjega jaemiisseo
I'm in student council,학생회에 있어,haksaenghoee isseo
I need to pay tuition,등록금을 내야 해,deungrokgeumeul naeya hae
The semester just started,학기가 막 시작됐어,hakgiga mak sijakdwaesseo
Summer break is coming,여름 방학이 다가와,yeoreum banghagi dagawa
I'm taking a gap year,휴학 중이야,hyuhak jungiya
I need an internship,인턴십이 필요해,inteonshibi piryohae
The lab is in building 3,실험실이 3번 건물에 있어,silheomsiri sambeongeonmure isseo
I love campus life,대학 생활이 좋아,daehak saenghwari joa
I'm studying abroad next semester,다음 학기에 교환학생 가,daeum hakgie gyohwanhaksaeng ga
Let's do a study group,스터디 그룹 하자,seuteodi geurup haja
Office hours are on Monday,상담 시간은 월요일이야,sangdam siganeun woryoiriya
I need to drop this class,이 수업을 철회해야 해,i sueobeul cheolhoehaeya hae
The workload is heavy,과제가 많아,gwajega mana
I'm stressed about grades,성적 때문에 스트레스야,seongjeok ttaemune seutreseya
Graduation is in February,졸업이 2월이야,joreopi iworiya
I have a crush on a classmate,같은 과 사람이 좋아,gateun gwa sarami joa
Alumni network is important,동문 네트워크가 중요해,dongmun neteuwokkeuga jungyohae
I'm preparing for a certification,자격증 준비 중이야,jagyeokjeung junbi jungiya
College memories are precious,대학 추억은 소중해,daehak chueogeun sojunghae
