english_text,korean_text,romanization
What a relief,다행이다,dahaengida
I am so relieved,정말 안심이야,jeongmal ansimiya
Thank goodness,다행히도,dahaenghido
I feel at peace now,마음이 편해졌어,maeumi pyeonhaejyeosseo
The weight has been lifted,마음의 짐을 내려놨어,maeumui jimeul naeryeonwasseo
I can finally breathe,이제야 숨을 쉴 수 있어,ijeya sumeul swil su isseo
Everything worked out,다 잘 됐어,da jal dwaesseo
I was worried for nothing,괜한 걱정이었어,gwaenan geokjeongieosseo
I feel calm now,이제 차분해,ije chabunhae
It was not as bad as I thought,생각보다 별거 아니었어,saenggakboda byeolgeo anieosseo
I can relax now,이제 쉴 수 있어,ije swil su isseo
The storm has passed,폭풍이 지나갔어,pokpungi jinagasseo
I feel safe now,이제 안전해,ije anjeonhae
My worries disappeared,걱정이 사라졌어,geokjeongi sarajyeosseo
I slept well for the first time in days,며칠 만에 잘 잤어,myeochil mane jal jasseo
Good news at last,드디어 좋은 소식이야,deudieo joeun sosigiya
That turned out well,잘 풀렸어,jal pullyeosseo
I feel so much better,훨씬 나아졌어,hwolssin naajyeosseo
The results came back fine,결과가 괜찮게 나왔어,gyeolgwaga gwaenchane nawasseo
Nothing bad happened,아무 일 없었어,amu il eopseo sseo
I made it through,무사히 지나갔어,musahi jinagasseo
I passed the test,시험에 합격했어,siheome hapgyeokhaesseo
The problem is solved,문제가 해결됐어,munjega haegyeoldwaesseo
I feel light-hearted,마음이 가벼워,maeumi gabyeowo
I am no longer worried,더 이상 걱정 안 해,deo isang geokjeong an hae
Everything is going to be fine,다 괜찮을 거야,da gwaenchaneul geoya
I feel serene,평온해,pyeongonhae
My mind is at ease,마음이 놓여,maeumi noyeo
I survived that,살아남았어,saranamasseo
That was a close call,아슬아슬했어,aseulaseulhaesseo
Luckily nothing happened,다행히 아무 일 없었어,dahaenghi amu il eopseo sseo
I dodged a bullet,큰일 날 뻔했어,keunil nal ppeonhaesseo
I feel peaceful,평화로워,pyeonghwarowo
The danger has passed,위험이 지나갔어,wiheomi jinagasseo
I feel comfortable here,여기가 편해,yeogiga pyeonhae
My anxiety is gone,불안감이 사라졌어,burangami sarajyeosseo
I can think clearly now,이제 머리가 맑아,ije meoriga malga
The tension has eased,긴장이 풀렸어,ginjang-i pullyeosseo
I feel gratitude,감사함을 느껴,gamsahameul neukkyo
Things are looking up,상황이 좋아지고 있어,sanghwangi joajigo isseo
I feel hopeful again,다시 희망이 생겼어,dasi huimangi saenggyeosseo
The hard part is over,힘든 부분은 끝났어,himdeun bubuneun kkeunnasseo
I am out of danger,위험에서 벗어났어,wiheomeseo beoseonasseo
I feel blessed,축복받은 느낌이야,chukbokbadeun neukkimiya
My heart rate is back to normal,심장 박동이 정상으로 돌아왔어,simjang bakdongi jeongsangeuro dorawasseo
I can enjoy this moment,이 순간을 즐길 수 있어,i sunganeul jeulgil su isseo
Stress levels are down,스트레스가 줄었어,seuteureseuga jureosseo
I found inner peace,내면의 평화를 찾았어,naemyeonui pyeonghwareul chajasseo
I have nothing to worry about,걱정할 게 없어,geokjeonghal ge eopseo
Life feels good right now,지금 삶이 좋게 느껴져,jigeum salmi jokge neukkoyeojyeo
Nature makes me feel at peace,자연이 마음을 편하게 해,jayeoni maeumeul pyeonhage hae
I am content with where I am,지금 상태에 만족해,jigeum sangtaee manjokae
Just being alive is a blessing,살아있는 것만으로 감사해,sarainneun geomaneuro gamsahae
A warm bath calms me down,따뜻한 목욕이 마음을 진정시켜,ttatteutan mogyogi maeumeul jinjeongsikyeo
Music helps me relax,음악이 긴장을 풀어줘,eumagi ginjangeul pureojwo
Deep breaths bring me peace,심호흡이 평온을 가져다줘,simhoheubi pyeongoneul gajyeodajwo
I feel grounded and stable,안정적인 느낌이야,anjeongjeogin neukkimiya
I choose peace over worry,걱정 대신 평화를 선택해,geokjeong daesin pyeonghwareul seontaekhae
Letting go brings relief,내려놓으면 편해져,naeryeonoeumyeon pyeonhaejyeo
This moment is enough,이 순간이면 충분해,i sunganmyeon chungbunhae
