english_text,korean_text,romanization
What is your zodiac sign?,무슨 띠예요?,museun ttiyeyo?
I am a rat,저는 쥐띠예요,jeoneun jwittiyeyo
I am an ox,저는 소띠예요,jeoneun sottiyeyo
I am a tiger,저는 호랑이띠예요,jeoneun horangittiyeyo
I am a rabbit,저는 토끼띠예요,jeoneun tokkittiyeyo
I am a dragon,저는 용띠예요,jeoneun yongttiyeyo
I am a snake,저는 뱀띠예요,jeoneun baemttiyeyo
I am a horse,저는 말띠예요,jeoneun malttiyeyo
I am a sheep,저는 양띠예요,jeoneun yangttiyeyo
I am a monkey,저는 원숭이띠예요,jeoneun wonsungittiyeyo
I am a rooster,저는 닭띠예요,jeoneun dakttiyeyo
I am a dog,저는 개띠예요,jeoneun gaettiyeyo
I am a pig,저는 돼지띠예요,jeoneun dwaejittiyeyo
The zodiac cycle is twelve years,띠는 12년 주기야,ttineun sibilnyeon jugiya
Rats are said to be clever,쥐띠는 영리하다고 해,jwittineun yeongrihadago hae
Oxen are known for diligence,소띠는 성실하다고 해,sottineun seongsilhadago hae
Tigers are brave and confident,호랑이띠는 용감하다고 해,horangittineun yonggamhadago hae
Rabbits are gentle and kind,토끼띠는 온순하다고 해,tokkittineun onsunhadago hae
Dragons are powerful and lucky,용띠는 강하고 운이 좋다고 해,yongttineun ganghago uni jotdago hae
Snakes are wise and mysterious,뱀띠는 지혜롭고 신비롭다고 해,baemttineun jihyeropgo sinbiropago hae
Horses are energetic and free,말띠는 활기차고 자유롭다고 해,malttineun hwalgichago jayuropago hae
Sheep are creative and calm,양띠는 창의적이고 차분하다고 해,yangttineun changeuijeogin chabunhadago hae
Monkeys are playful and smart,원숭이띠는 장난스럽고 똑똑하다고 해,wonsungittineun jangnanseureobgo ttokttokhadago hae
Roosters are hardworking and observant,닭띠는 부지런하다고 해,dakttineun bujireonhadago hae
Dogs are loyal and honest,개띠는 충실하고 정직하다고 해,gaettineun chungsilhago jeongjikhadago hae
Pigs are generous and sincere,돼지띠는 너그럽고 성실하다고 해,dwaejittineun neogeureobgo seongsilhadago hae
What year were you born?,몇 년생이에요?,myeot nyeonsaengieyo?
I was born in the year of the dragon,저는 용의 해에 태어났어요,jeoneun yongui haee taeonasseoyo
My zodiac and yours are compatible,우리 띠 궁합이 좋아,uri tti gunghabi joa
Our zodiac signs clash,우리 띠 궁합이 안 맞아,uri tti gunghabi an maja
The dragon year is considered lucky,용띠 해는 운이 좋다고 해,yongtti haeneun uni jotdago hae
Many babies are born in dragon years,용띠 해에는 출생률이 높아,yongtti haeneun chulsaengnyuri nopa
Each animal has unique traits,각 동물은 고유한 특성이 있어,gak dongmureun goyuhan teukseongni isseo
Zodiac signs influence personality,띠가 성격에 영향을 준다고 해,ttiga seonggyeoge yeonghyangeul jundago hae
What zodiac year is this?,올해는 무슨 띠의 해야?,olhaeneun museun ttiui haeya?
It is the year of the snake,올해는 뱀의 해야,olhaeneun baemui haeya
Korean zodiac is based on birth year,한국 띠는 태어난 해로 정해져,hanguk ttineun taeonan haero jeonghajyeo
Zodiac compatibility is popular in Korea,띠 궁합이 한국에서 인기 있어,tti gunghabi hangukeseo ingi isseo
Some believe zodiac affects marriage,띠가 결혼에 영향을 준다고 믿는 사람도 있어,ttiga gyeolhone yeonghyangeul jundago mitneun saramdo isseo
My parents checked our zodiac before marriage,부모님이 결혼 전에 띠를 봤어,bumonimi gyeolhon jeone ttireul bwasseo
Tiger and monkey do not match well,호랑이띠와 원숭이띠는 안 맞는다고 해,horangittiwa wonsungittineun an mannundago hae
Rat and ox are a good match,쥐띠와 소띠는 잘 맞는다고 해,jwittiwa sottineun jal mannundago hae
Dragon and rooster get along,용띠와 닭띠는 궁합이 좋다고 해,yongttiwa dakttineun gunghabi jotdago hae
I do not really believe in zodiac signs,띠를 크게 믿지는 않아,ttireul keuge mitjineun ana
It is just for fun,그냥 재미로 보는 거야,geunyang jaemiro boneun geoya
People still ask about zodiac in Korea,한국에서는 아직도 띠를 물어봐,hangugeseo neun ajikdo ttireul mureobwa
The zodiac is part of Korean culture,띠는 한국 문화의 일부야,ttineun hanguk munhwaui ilbuya
Each year has a different energy,매년 다른 기운이 있다고 해,maenyeon dareun giuni itdago hae
Grandparents often mention zodiac signs,할머니 할아버지는 띠를 자주 얘기해,halmeoni harabeojineun ttireul jaju yaegihae
Children learn about zodiac early,아이들도 일찍부터 띠를 배워,aideuldo iljjikbuteo ttireul baeoeo
The zodiac calendar follows the lunar year,띠는 음력 기준이야,ttineun eumlyeok gijuniya
Some people avoid certain zodiac years for babies,특정 띠 해에 아이를 안 낳으려는 사람도 있어,teukjeong tti haee aireul an naeuryeoneun saramdo isseo
The twelve animals have a fun story,열두 동물에는 재미있는 이야기가 있어,yeoldu dongmureneun jaemiinneun iyagiga isseo
Zodiac tattoos are trendy,띠 문신이 유행이야,tti munsini yuhaengiya
The zodiac shapes cultural beliefs,띠가 문화적 믿음을 형성해,ttiga munhwajeok mideumeul hyeongseong hae
Learning zodiac is a fun way to learn Korean,띠를 배우면 한국어도 재미있게 배울 수 있어,ttireul baeumyeon hangugeodo jaemiitge baeul su isseo
What animal are you in the Korean zodiac?,한국 띠로 무슨 동물이에요?,hanguk ttiro museun dongmurieyo?
Do you know your parents' zodiac?,부모님 띠를 알아요?,bumonim ttireul arayo?
My whole family is the same zodiac,우리 가족은 다 같은 띠야,uri gajogeun da gateun ttiya
The zodiac connects generations,띠가 세대를 연결해,ttiga sedaereul yeongyeolhae
