english_text,korean_text,romanization
Freelancer,프리랜서,peurilaenseo
Freelance work,프리랜스 업무,peurilaenseu eommu
Self-employed,자영업자,jayeongeopja
Independent contractor,독립 계약자,dongnip gyeyakja
Client,고객,gogaek
Project,프로젝트,peurojekteu
Deadline,마감일,magamil
Portfolio,포트폴리오,poteupollio
Resume,이력서,iryeokseo
Business card,명함,myeongham
Invoice,청구서,cheongguseo
Payment,결제,gyeolje
Bank transfer,계좌 이체,gyejwa iche
Tax filing,세금 신고,segeum singo
Business registration,사업자 등록,saeopja deungnog
Income tax,소득세,sodeukse
Health insurance,건강 보험,geongang boheom
National pension,국민연금,gungmin yeongeum
Unstable income,불안정한 수입,buranjeonghan suip
Feast or famine,들쭉날쭉,deuljjungnagjjuk
Negotiation,협상,hyeopsang
Rate,단가,danga
Hourly rate,시급,sigeup
Project fee,프로젝트 비용,peurojekteu biyong
Contract,계약서,gyeyakseo
NDA,비밀 유지 계약,bimil yuji gyeyak
Revision,수정,sujeong
Feedback,피드백,pideubaek
Approval,승인,seungin
Rejection,거절,geojeol
Meeting,미팅,miting
Video call,화상 통화,hwasang tonghwa
Email,이메일,imeil
Communication,소통,sotong
Time management,시간 관리,sigan gwalli
Work-life balance,워라밸,worabal
Home office,홈오피스,homopiseu
Remote work,원격 근무,wongyeok geunmu
Coffee shop work,카페 작업,kape jageop
Co-working space,공유 오피스,gongyu opiseu
Networking,네트워킹,neteuwoking
Referral,소개,sogae
Repeat client,단골 고객,dangol gogaek
Side project,사이드 프로젝트,saideu peurojekteu
Skill upgrade,스킬 업그레이드,seukil eopgeuleideu
Online course,온라인 강의,onlain gangui
Certification,자격증,jagyeokjeung
Competition,경쟁,gyeongjaeng
Market rate,시장 가격,sijang gagyeok
Burnout,번아웃,beonaut
Vacation,휴가,hyuga
I'm a freelancer,저는 프리랜서예요,jeoneun peurilaenseoyeyo
I work from home,재택근무 해요,jaetaekgeunmu haeyo
The deadline is tomorrow,마감이 내일이에요,magami naeirieyo
Can we discuss the rate,단가 논의할 수 있을까요,danga nonuihal su isseulkkayo
I'll send the invoice,청구서 보내드릴게요,cheongguseo bonaedeurilgeyo
The project is complete,프로젝트 완료했어요,peurojekteu wallyohaesseoyo
I need more time,시간이 더 필요해요,sigani deo piryohaeyo
Let's schedule a meeting,미팅 잡아요,miting jabayo
I'm available,가능해요,ganeunghaeyo
