english_text,korean_text,romanization
You look beautiful,예쁘시네요,yeppeusineyo
You're so handsome,잘생기셨네요,jalsaenggisyeonneyo
You have a nice smile,웃는 모습이 예뻐요,unneun moseupi yeppeoyo
You're so kind,정말 착하시네요,jeongmal chakhasineyo
You're very talented,재능이 뛰어나시네요,jaeneungi ttwieonasineyo
You have good taste,센스가 좋으시네요,senseuga joeusineyo
You're really smart,정말 똑똑하시네요,jeongmal ttokttokhasineyo
Your Korean is good,한국어를 잘하시네요,hangugeo jal hasineyo
You're so cool,멋있어요,meossisseoyo
You look young for your age,나이보다 젊어 보여요,naiboda jeolmeo boyeoyo
You're so funny,정말 재밌어요,jeongmal jaemisseoyo
You dress well,옷을 잘 입으시네요,oseul jal ibeusineyo
You sing well,노래를 잘하시네요,noraereul jal hasineyo
You cook well,요리를 잘하시네요,yorireul jal hasineyo
You're a good person,좋은 사람이에요,joeun saramieyo
You're hardworking,정말 부지런하시네요,jeongmal bujireonhasineyo
Your skin is so nice,피부가 좋으시네요,pibuga joeusineyo
You have pretty eyes,눈이 예쁘시네요,nuni yeppeusineyo
You look great today,오늘 멋져 보여요,oneul meotjyeo boyeoyo
You're very charming,매력적이시네요,maeryeokjeogisineyo
You're a great friend,정말 좋은 친구예요,jeongmal joeun chinguyeyo
You're so thoughtful,배려심이 깊으시네요,baeryeosimi gipeusineyo
That suits you well,그거 잘 어울려요,geugeo jal eoullyeoyo
You always look happy,항상 밝아 보여요,hangsang balga boyeoyo
You have a beautiful voice,목소리가 예뻐요,moksoriga yeppeoyo
You're very patient,인내심이 대단하시네요,innaesimi daedanhasineyo
You're reliable,믿음직하시네요,mideumjikasineyo
You inspire me,당신에게 영감을 받아요,dangsinege yeonggameul badayo
You make me happy,덕분에 행복해요,deokbune haengbokhaeyo
You're a natural leader,리더십이 있으시네요,rideosibi isseusineyo
Your hair looks nice,머리 스타일 예쁘네요,meori seutail yeppeune yo
You have a warm heart,마음이 따뜻하시네요,maeumi ttatteutasineyo
You did an amazing job,정말 잘하셨어요,jeongmal jalhasyeosseoyo
You're so brave,정말 용감하시네요,jeongmal yonggamasineyo
You're very creative,창의적이시네요,changeuijeogisinyo
I admire you,존경해요,jongyeonghaeyo
You always make me smile,항상 웃게 해줘서 고마워요,hangsang utge haejwoseo gomawoyo
You look good in that color,그 색이 잘 어울려요,geu saegi jal eoullyeoyo
You have great manners,예의가 바르시네요,yeuiga bareusineyo
I like your style,스타일이 좋아요,seutairi joayo
You're very polite,정말 예의 바르시네요,jeongmal yeui bareusineyo
You're glowing today,오늘 빛나 보여요,oneul bitna boyeoyo
Your cooking is delicious,요리가 맛있어요,yoriga masisseoyo
You photograph well,사진이 잘 나오시네요,sajini jal naosineyo
You're a good listener,경청을 잘하시네요,gyeongcheongeul jal hasineyo
You're so elegant,우아하시네요,uahasineyo
You have good energy,에너지가 좋으시네요,eneoiga joeusineyo
You're always positive,항상 긍정적이시네요,hangsang geungjeongjeogisineyo
You make it look easy,쉬워 보이게 하시네요,swiwo boige hasineyo
You're the best,최고예요,choegoyeyo
You look like a celebrity,연예인 같아요,yeonyein gatayo
That was impressive,인상 깊었어요,insang gipeosseoyo
You're full of surprises,반전 매력이 있어요,banjeon maeryeogi isseoyo
You have a great sense of humor,유머 감각이 뛰어나시네요,yumeo gamgagi ttwieonasineyo
Keep up the good work,계속 잘하고 계시네요,gyesok jalhago gyesineyo
You're one of a kind,당신은 특별해요,dangsineun teukbyeolhaeyo
You never give up,포기하지 않는 모습이 멋져요,pogihaji anneun moseupi meotjyeoyo
I'm proud of you,자랑스러워요,jarangseureowoyo
You're amazing,대단하시네요,daedanhasineyo
Everything about you is lovely,다 사랑스러워요,da sarangseureowoyo
