english_text,korean_text,romanization
I'd like to buy concert tickets,콘서트 티켓을 사고 싶어요,konseoteu tiketeul sago sipeoyo
The tickets sold out in seconds,티켓이 순식간에 매진됐어요,tikesi sunsikgane maejindwaesseoyo
What time do the doors open?,입장 시간이 몇 시예요?,ipjang sigani myeot siyeyo?
Where is my seat?,제 자리가 어디예요?,je jariga eodiyeyo?
I have standing tickets,스탠딩 티켓이에요,seutaending tiketieyo
I have seated tickets,지정석 티켓이에요,jijeongseok tiketieyo
The concert starts at 7,콘서트가 7시에 시작해요,konseteuga ilgopsie sijakhaeyo
Who is performing tonight?,오늘 밤 누가 공연해요?,oneul bam nuga gongyeonhaeyo?
I'm a big fan,저 완전 팬이에요,jeo wanjeon paenieyo
I've been a fan for five years,팬이 된 지 5년 됐어요,paeni doen ji onyeon dwaesseoyo
The performance was amazing,공연이 정말 대단했어요,gongyeoni jeongmal daedanhaesseoyo
The sound quality was great,음향이 정말 좋았어요,eumhyangi jeongmal joasseoyo
I can't see the stage well,무대가 잘 안 보여요,mudaega jal an boyeoyo
Can I get closer to the stage?,무대 앞으로 갈 수 있어요?,mudae apeuro gal su isseoyo?
The encore was the best part,앵콜이 제일 좋았어,aengkori jeil joasseo
They played my favorite song,내가 제일 좋아하는 노래를 불렀어,naega jeil joahaneun noraereul bulleosseo
I got goosebumps,소름 돋았어,soreum dodasseo
Everyone was singing along,다 같이 따라 불렀어,da gachi ttara bulleosseo
The atmosphere was incredible,분위기가 끝내줬어,bunwigiga kkeutnaejwosseo
I took so many videos,영상을 엄청 많이 찍었어,yeongsangeul eomcheong mani jjigeosseo
No flash photography please,플래시 촬영 금지예요,peullaesi chwaryeong geumjiyeyo
Where is the merchandise booth?,굿즈 판매대가 어디예요?,gutjeu panmaedaega eodiyeyo?
I'd like to buy a lightstick,응원봉을 사고 싶어요,eungwonbongeul sago sipeoyo
I'd like to buy a t-shirt,티셔츠를 사고 싶어요,tisyeocheureul sago sipeoyo
The fan chants were amazing,팬 떼창이 대단했어,paen ttechang-i daedanhaesseo
I waited in line for hours,몇 시간이나 줄 서서 기다렸어,myeot siganina jul seoseo gidaryeosseo
Is there a VIP section?,VIP석이 있어요?,VIPseogi isseoyo?
How do I get to the venue?,공연장 가는 길이 어떻게 돼요?,gongyeonjang ganeun giri eotteoke dwaeyo?
Is there parking at the venue?,공연장에 주차장 있어요?,gongyeonjange juchajang isseoyo?
What time does it end?,몇 시에 끝나요?,myeot sie kkeunnayo?
Can I bring a camera?,카메라 가져가도 돼요?,kamera gajyeogado dwaeyo?
Food and drinks are not allowed,음식 반입이 금지예요,eumsik banribi geumjiyeyo
I'd like a fan sign event ticket,팬사인회 티켓을 사고 싶어요,paensainhoe tiketeul sago sipeoyo
I got an autograph,사인을 받았어요,saineul badasseoyo
I shook hands with the singer,가수랑 악수했어요,gasurang aksuhasseoyo
I made eye contact,눈이 마주쳤어요,nuni majuchyeosseoyo
The opening act was great too,오프닝 공연도 좋았어,opeuning gongyeondo joasseo
I'm so excited,너무 설레요,neomu seolleyo
My voice is gone from screaming,소리 지르다가 목이 다 갔어,sori jireudaga mogi da gasseo
Let's go to the after-party,뒤풀이 가자,dwipuri gaja
I saw them in real life,실물로 봤어요,silmullo bwasseoyo
They look better in person,실물이 더 예뻐요,silmuri deo yeppeoyo
The setlist was perfect,셋리스트가 완벽했어,setristeuga wanbyeokhaesseo
They did a costume change,의상 체인지를 했어,uisang cheinjireul haesseo
The choreography was amazing,안무가 대단했어,anmuga daedanhaesseo
The stage design was beautiful,무대 디자인이 예뻤어,mudae dijain-i yeppeosseo
The lighting was incredible,조명이 끝내줬어,jomyeongi kkeutnaejwosseo
I'll definitely come again next time,다음에 꼭 또 올 거예요,daeume kkok tto ol geoyeyo
I need to charge my phone,핸드폰 충전해야 해요,haendeupon chungjeonhaeya haeyo
Where is the restroom?,화장실이 어디예요?,hwajangsiri eodiyeyo?
Let's meet at the entrance,입구에서 만나자,ipgueseo mannaja
The festival was so much fun,축제가 너무 재미있었어,chukjega neomu jaemiisseosseo
I got the limited edition goods,한정판 굿즈를 샀어,hanjeongpan gutjeureul sasseo
It was worth every penny,돈이 아깝지 않았어,doni akkapji anasseo
I can't wait for the next concert,다음 콘서트가 기대돼요,daeum konseteuga gidaedwaeyo
I'll stream the concert online,온라인으로 콘서트를 볼게요,onllaineuro konseteureul bolgeyo
The fanbase is really passionate,팬덤이 정말 열정적이야,paendeomi jeongmal yeoljeongjeogiya
I pre-ordered the album,앨범을 예약 구매했어요,aelbeomeul yeyak gumaehasseoyo
Let's take a selfie here,여기서 셀카 찍자,yeogiseo selka jjikja
