english_text,korean_text,romanization
I'd like to do a temple stay,템플스테이를 하고 싶어요,tempeureusteireul hago sipeoyo
How do I sign up for temple stay?,템플스테이 신청은 어떻게 해요?,tempereuseutei sincheong-eun eotteoke haeyo?
Which temple do you recommend?,어떤 사찰을 추천해요?,eotteon sachareul chucheonhaeyo?
How long is the program?,프로그램이 며칠이에요?,peurogeuraemi myeochirieyo?
It's a two-day one-night program,1박 2일 프로그램이에요,ilbak iil peurogeuraemieyo
What should I bring?,뭘 가져가야 해요?,mwol gajyeogaya haeyo?
Wear comfortable clothes,편한 옷을 입으세요,pyeonhan oseul ibeuseyo
We need to wake up early,일찍 일어나야 해요,iljjik ireonaya haeyo
Morning bells ring at 4 AM,새벽 4시에 아침 종이 울려요,saebyeok nesie achim jongi ullyeoyo
Let's do morning chanting,아침 예불을 해요,achim yebureul haeyo
Let's meditate together,같이 명상하자,gachi myeongsanghaja
Close your eyes,눈을 감으세요,nuneul gameuseyo
Focus on your breathing,호흡에 집중하세요,hoheube jipjunghaseyo
Breathe in slowly,천천히 숨을 들이쉬세요,cheoncheonhi sumeul deuriswiiseyo
Breathe out slowly,천천히 숨을 내쉬세요,cheoncheonhi sumeul naeswiiseyo
Clear your mind,마음을 비우세요,maeumeul biuseyo
I feel at peace,마음이 평화로워요,maeumi pyeonghwarowoyo
The temple is so quiet,사찰이 정말 조용해요,sachari jeongmal joyonghaeyo
The mountain air is fresh,산 공기가 맑아요,san gonggiga malgayo
Let's walk in the forest,숲속을 걷자,supssogeul geotja
Walking meditation is relaxing,걷기 명상이 편안해요,geotgi myeongsangi pyeonanhaeyo
Let's eat temple food,사찰음식을 먹자,sachaleumssigeul meokja
Temple food is vegetarian,사찰음식은 채식이에요,sachaleumsigeun chaesigieyo
No garlic or onion in temple food,사찰음식에는 마늘과 양파가 없어요,sachaleumsigeune maneulgwa yangpaga eopseoyo
The food is simple but delicious,음식이 소박하지만 맛있어요,eumsigi sobakhajiman masisseoyo
Eat in silence,묵언 수행 중에 식사해요,mugeon suhaeng junge siksahaeyo
Don't waste any food,음식을 남기지 마세요,eumsigeul namgiji maseyo
Let's make a lotus lantern,연등을 만들자,yeondeungeul mandeul-ja
Let's try tea ceremony,다도 체험을 해 보자,dado cheheomeul hae boja
The tea is very calming,차가 마음을 안정시켜 줘요,chaga maeumeul anjeongssikyeo jwoyo
Let's do a 108 bows practice,108배를 해 보자,baekpalbaereul hae boja
108 bows is very tiring,108배가 정말 힘들어요,baekpalbaega jeongmal himdeuleoyo
My legs are sore from bowing,절해서 다리가 아파요,jeolhaeseo dariga apayo
The monks are very kind,스님들이 정말 친절해요,seunimdeuri jeongmal chinjeolhaeyo
I learned a lot from the monks,스님들에게 많은 것을 배웠어요,seunimdeulege maneun geoseul baewosseoyo
Please show respect in the temple,사찰에서 예의를 지켜 주세요,sachareseo yeeuireul jikyeo juseyo
Take off your shoes inside,실내에서 신발을 벗으세요,silnaeeseo sinbareul beoseuseyo
Please be quiet,조용히 해 주세요,joyonghi hae juseyo
Photography is not allowed here,여기는 촬영 금지예요,yeogineun chwaryeong geumjiyeyo
The temple architecture is beautiful,사찰 건축이 아름다워요,sachal geonchuki areumdawoyo
The Buddhist paintings are impressive,불화가 인상적이에요,bulhwaga insangjeogieyo
I want to learn more about Buddhism,불교에 대해 더 배우고 싶어요,bulgyoe daehae deo baeugo sipeoyo
This is my first time at a temple,사찰은 처음이에요,sachareun choeumieyo
I feel refreshed after the stay,템플스테이 후에 개운해졌어요,tempeulseutei hue gaeunhaejyeosseoyo
I want to do this again,또 하고 싶어요,tto hago sipeoyo
My mind feels clearer now,마음이 맑아졌어요,maeumi malgajyeosseoyo
I learned to appreciate simplicity,소박함의 가치를 배웠어요,sobakhamui gachireul baewosseoyo
The sunrise from the temple was beautiful,사찰에서 본 일출이 아름다웠어요,sachareseo bon ilchuri areumdawosseoyo
I slept on the floor,바닥에서 잤어요,badag-eseo jasseoyo
It was uncomfortable but a good experience,불편했지만 좋은 경험이었어요,bulpyeonhaetjiman joeun gyeongheomieosseoyo
I recommend temple stay to everyone,템플스테이를 모두에게 추천해요,tempeulseuteireul moduege chucheonhaeyo
This was a life-changing experience,인생이 바뀌는 경험이었어요,insaengi bakkwineun gyeongheomieosseoyo
I found inner peace,내면의 평화를 찾았어요,naemyeonui pyeonghwareul chajasseoyo
Let's disconnect from our phones,핸드폰을 내려놓자,haendeupon-eul naeryeonoja
Being in nature is healing,자연 속에 있으면 치유가 돼요,jayeon soge isseumyeon chiyuga dwaeyo
I'm grateful for this experience,이 경험에 감사해요,i gyeongheoeme gamsahaeyo
I'll carry these lessons with me,이 가르침을 간직할게요,i gareuchimeul ganjikhalgeyo
Thank you for the wonderful experience,좋은 경험 감사합니다,joeun gyeongheom gamsahamnida
I want to share this with my friends,친구들에게도 추천하고 싶어요,chingudeulege-do chucheonhago sipeoyo
Namaste,합장,hapjang
