english_text,korean_text,romanization
I have a dog,강아지를 키워요,gangajireul kiwoyo
I have a cat,고양이를 키워요,goyangireul kiwoyo
What's your pet's name?,반려동물 이름이 뭐예요?,banryeodongmul ireumi mwoyeyo?
My dog's name is Happy,우리 강아지 이름은 해피예요,uri gangaji ireumeun haepiyeyo
How old is your dog?,강아지가 몇 살이에요?,gangajiga myeot sarieyo?
She's three years old,세 살이에요,se sarieyo
What breed is your dog?,강아지 품종이 뭐예요?,gangaji pumjongi mwoyeyo?
I adopted my dog,유기견을 입양했어요,yugigyeoneul ipyanghaesseoyo
I rescued my cat,구조된 고양이를 데려왔어요,gujodoen goyangireul deryeowasseoyo
Let's go for a walk,산책하러 가자,sanchaekhareo gaja
Time to go for a walk,산책 시간이야,sanchaek siganiya
My dog loves walks,우리 강아지는 산책을 좋아해요,uri gangajineun sanchaegeul joahahaeyo
My cat is an indoor cat,우리 고양이는 실내에서만 키워요,uri goyangineun silnaeseoman kiwoyo
I need to go to the vet,동물병원에 가야 해요,dongmulbyeongwone gaya haeyo
Time for the annual checkup,연례 건강검진 시간이에요,yeollye geonganggeonjin siganieyo
My pet needs vaccinations,예방접종을 맞아야 해요,yebangjeopjongeul majaya haeyo
I need to get my pet neutered,중성화 수술을 해야 해요,jungseonghwa susureul haeya haeyo
My dog is not feeling well,강아지가 아픈 것 같아요,gangajiga apeun geot gatayo
My cat won't eat,고양이가 밥을 안 먹어요,goyangiga babeul an meogeoyo
Time to feed the pet,밥 줄 시간이야,bap jul siganiya
I buy premium pet food,프리미엄 사료를 사요,peurimieom saryoreul sayo
My dog is picky eater,우리 강아지는 입이 까다로워요,uri gangajineun ibi kkadaroweoyo
I need to clean the litter box,화장실을 치워야 해요,hwajangsireul chiwoya haeyo
My cat uses the litter box well,고양이가 화장실을 잘 가려요,goyangiga hwajangsireul jal garyeoyo
My dog had puppies,강아지가 새끼를 낳았어요,gangajiga saekkireul naasseoyo
The puppies are so adorable,강아지들이 너무 귀여워요,gangajideuri neomu gwiyeowoyo
My dog knows tricks,우리 강아지는 재주를 부려요,uri gangajineun jaejureul buryeoyo
Sit! Stay!,앉아! 기다려!,anja! gidaryeo!
Good boy! Good girl!,잘했어!,jalhaesseo!
My dog is very obedient,우리 강아지는 말을 잘 들어요,uri gangajineun mareul jal deureoyo
I need to train my dog,강아지 훈련을 시켜야 해요,gangaji hullyeoneul sikyeoya haeyo
My cat scratches the furniture,고양이가 가구를 긁어요,goyangiga gagureul geulgeoyo
I bought a scratching post,스크래처를 샀어요,seukeuraeacheoreul sasseoyo
My dog chewed up my shoes,강아지가 내 신발을 물어뜯었어요,gangajiga nae sinbareul mureo tteudeosseoyo
I need to give my dog a bath,강아지 목욕을 시켜야 해요,gangaji mogyogeul sikyeoya haeyo
I take my dog to the groomer,강아지 미용실에 데려가요,gangaji miyongsire deryeogayo
My cat sheds a lot,고양이 털이 많이 빠져요,goyangi teori mani ppajyeoyo
I brush my pet every day,매일 빗질을 해 줘요,maeil bitjireul hae jwoyo
My dog loves belly rubs,우리 강아지는 배 문질러 주면 좋아해요,uri gangajineun bae munjilleo jumyeon joahahaeyo
My cat purrs when happy,고양이가 기분 좋으면 골골거려요,goyangiga gibun joeumyeon golgolgeoryeoyo
My dog wags his tail,강아지가 꼬리를 흔들어요,gangajiga kkorireul heundeuleoyo
I take my dog to the dog park,강아지 공원에 데려가요,gangaji gongwone deryeogayo
My dog plays with other dogs,다른 강아지들과 놀아요,dareun gangajideulgwa norayo
I put a leash on my dog,목줄을 채워요,mokjureul chaeweoyo
Please pick up after your dog,배변 봉투로 치워 주세요,baebyeon bongturo chiwo juseyo
My cat loves to play with string,고양이가 끈을 좋아해요,goyangiga kkeuneul joahahaeyo
I bought new toys for my pet,새 장난감을 샀어요,sae jangnangameul sasseoyo
My pet is part of the family,반려동물은 가족이에요,banryeodongmureun gagigieyo
I can't travel because of my pet,반려동물 때문에 여행을 못 가요,banryeodongmul ttaemune yeohaengeul mot gayo
I need a pet sitter,펫시터가 필요해요,petsiteoga piryohaeyo
Can I bring my dog here?,여기 강아지 데려와도 돼요?,yeogi gangaji deryeowado dwaeyo?
Is this place pet-friendly?,여기 반려동물 동반 가능해요?,yeogi banryeodongmul dongban ganeunghaeyo?
My dog is scared of thunder,우리 강아지는 천둥을 무서워해요,uri gangajineun cheondungeul museowohaeyo
My cat sleeps all day,고양이가 하루 종일 자요,goyangiga haru jongil jayo
I love my pet so much,반려동물을 너무 사랑해요,banryeodongmureul neomu saranghaeyo
My pet makes me happy,반려동물 덕분에 행복해요,banryeodongmul deokbune haengbokhaeyo
I'm thinking of getting a second pet,반려동물 한 마리 더 키울까 해요,banryeodongmul han mari deo kiulkka haeyo
I volunteer at an animal shelter,동물 보호소에서 봉사해요,dongmul bohosoeoseo bongsahaeyo
Don't abandon your pets,반려동물을 버리지 마세요,banryeodongmureul beoriji maseyo
I talk to my pet all the time,반려동물한테 맨날 말해요,banryeodongmulhante maennal malhaeyo
