english_text,korean_text,romanization
Military service,군복무,gunbongmu
Mandatory service,의무 복무,uimu bokmu
Enlistment,입대,ipdae
Military,군대,gundae
Army,육군,yukgun
Navy,해군,haegun
Air Force,공군,gonggun
Marines,해병대,haebyeongdae
Soldier,군인,gunin
Private,이등병,ideungbyeong
Corporal,일병,ilbyeong
Sergeant,상병,sangbyeong
Staff Sergeant,병장,byeongjang
Officer,장교,janggyo
Lieutenant,소위,sowi
Captain,대위,daewi
Major,소령,soryeong
Colonel,대령,daeryeong
General,장군,janggun
Boot camp,훈련소,hullyeonso
Basic training,기초 군사 훈련,gicho gunsa hullyeon
Physical training,체력 훈련,cheryeok hullyeon
March,행군,haenggun
Push-ups,팔굽혀펴기,palguphyeopyeogi
Running,구보,gubo
Shooting practice,사격 훈련,sagyeok hullyeon
Rifle,소총,sochong
Uniform,군복,gunbok
Military boots,군화,gunhwa
Dog tags,인식표,insikpyo
Barracks,막사,maksa
Military base,군부대,gunbudae
Sentry duty,보초,bocho
Night watch,야간 근무,yagan geunmu
Military food,군 식사,gun siksa
MRE (combat rations),전투 식량,jeontu singyang
Leave (vacation),휴가,hyuga
Regular leave,정기 휴가,jeonggi hyuga
Special leave,특별 휴가,teukbyeol hyuga
Phone call time,전화 시간,jeonhwa sigan
Letter from home,집에서 온 편지,jibeseo on pyeonji
Care package,택배,taekbae
Rank,계급,gyegeup
Promotion,진급,jingeup
Salute,경례,gyeongnye
At attention,차렷,charyeot
At ease,쉬어,swieo
About face,뒤로 돌아,dwiro dora
Fall in,집합,jiphap
Dismissed,해산,haesan
Yes sir,충성,chungseong
Roll call,점호,jeomho
Drill,훈련,hullyeon
Duty,근무,geunmu
Guard duty,경비 근무,gyeongbi geunmu
Military ID,군인 신분증,gunin sinbunjeung
Service period,복무 기간,bokmu gigan
I'm serving in the military,군 복무 중이에요,gun bokmu jungieyo
When do you enlist,언제 입대해요,eonje ipdaehaeyo
Stay strong,힘내세요,himnaeseyo
