english_text,korean_text,romanization
I'm a stray kid finding my way,길 잃은 아이가 길을 찾아,gil ireun aiga gireul chaja
We go all in,우리는 올인해,urineun olinhae
God's menu is what we serve,신메뉴를 대접해,sinmenyureul daejeopae
Back door is wide open,뒷문이 활짝 열렸어,dwitmuni hwaljjak yeollyeosseo
Thunderous applause,박수가 우레처럼,baksuga urecheoreom
My pace is my own,내 속도는 나만의 것,nae sokdoneun namanui geot
Don't stop running,멈추지 말고 달려,meomchuji malgo dallyeo
Level up every day,매일 레벨 업,maeil rebel eop
We make noise,우리가 소음을 만들어,uriga soeeumeul mandeureo
Miroh is a maze of life,인생은 미로 같아,insaengeun miro gata
Side effects of growing up,성장의 부작용,seongjangui bujagyong
Voices need to be heard,목소리를 내야 해,moksorireul naeya hae
District 9 is our world,구역 9는 우리 세상,guyeok guneun uri sesang
Double knot tied tight,매듭을 꽉 묶어,maedeuebeul kkwak mukkeo
Victory song playing loud,승전가가 크게 울려,seungjeonggaga keuge ullyeo
Hellevator going up,헬리베이터가 올라가,hellibeiteoga ollaga
I am who I am,나는 나다,naneun nada
Top of the world,세상 꼭대기에,sesang kkokdaegie
We don't play by the rules,규칙대로 안 해,gyuchikdaero an hae
Stronger than yesterday,어제보다 강해,eojeboda ganghae
Breaking the mold,틀을 깨부셔,teureul kkaebusyeo
No easy way out,쉬운 길은 없어,swiun gireun eopseo
Stay with me tonight,오늘 밤 내 곁에 있어,oneul bam nae gyeote isseo
Fear doesn't stop us,두려움은 우릴 멈추지 못해,duryeoumeun uril meomchuji mothae
We make our own luck,행운은 우리가 만들어,haenguneun uriga mandeureo
Born to be different,다르게 태어났어,dareuge taeeonnasseo
Freeze the moment,이 순간을 얼려,i sunganeul eollyeo
Taste the victory,승리를 맛봐,seungnireul matbwa
Lose my breath for you,너 때문에 숨이 멎어,neo ttaemune sumi meojeo
Red lights flashing,빨간 불이 깜빡여,ppalgan buri kkamppagyeo
Super board riding high,보드를 타고 높이,bodeureul tago nopi
Chronosaurus chasing time,시간을 쫓아,siganeul jjocha
Maniac for the beat,비트에 미쳤어,biteu e michyeosseo
Case 143 is love,사건 143은 사랑,sageon baeksasamisameun sarang
Rock star energy,록스타 에너지,rokseutae eneoji
We are the storm,우리가 폭풍이야,uriga pokpungiya
Domino effect starting now,도미노가 시작돼,dominoga sijakdwae
Lonely but free,외롭지만 자유로워,oereopjiman jayurowo
Kick it into high gear,기어를 올려,gieoreul ollyeo
Hold the line,선을 지켜,seoneul jikyeo
We don't back down,물러서지 않아,mulleoseoji ana
Champion of our own story,우리 이야기의 챔피언,uri iyagiui chaempieon
Rising from the ashes,재에서 일어나,jaeeseo ireona
We shine in the dark,어둠 속에서 빛나,eodum sogeseo binna
Fight for what's right,옳은 것을 위해 싸워,oreun geoseul wihae ssawo
Skz all the way,스키즈 끝까지,seukijeu kkeutkkaji
Passion never dies,열정은 죽지 않아,yeoljeongeun jukji ana
We write our destiny,운명을 직접 써,unmyeongeul jikjeop sseo
One spark is enough,불꽃 하나면 충분해,bulkkot hanamyeon chungbunhae
Heart pounding loud,심장이 크게 뛰어,simjangi keuge ttwieo
Nothing can break us,아무것도 우릴 꺾을 수 없어,amugeotdo uril kkeokkeul su eopseo
We own the night,밤은 우리 거야,bameun uri geoya
Turn up the volume,볼륨을 올려,bollyumeul ollyeo
Against the odds,불리해도 싸워,bullihaedo ssawo
United we stand,뭉치면 살아,mungchimyeon sara
Born ready,준비된 채로 태어났어,junbidoen chaero taeeonnasseo
Push through the limits,한계를 돌파해,hangyereul dolpahae
This is our playground,여기가 우리 놀이터,yeogiga uri noriteo
Never alone always together,혼자가 아니야 항상 함께,honjaga aniya hangsang hamkke
The future is now,미래는 지금이야,miraeneun jigeumiya
We are Stray Kids,우리는 스트레이키즈,urineun seuteureikhijeu
