english_text,korean_text,romanization
I'm a goblin,나는 도깨비야,naneun dokkaebi-ya
I am the goblin's bride,나는 도깨비 신부야,naneun dokkaebi sinbuya
Can you see this sword?,이 칼이 보여요?,i kari boyeoyo?
Pull out the sword,칼을 뽑아 줘,kareul ppoba jwo
You can see me?,나를 볼 수 있어?,nareul bol su isseo?
It's my first life,처음이니까,choeumikka
It's beautiful and sad,아름답고 슬프다,areumdapgo seulpeuda
I've waited for 900 years,900년을 기다렸어,gubaengnyeoneul gidaryeosseo
This is my destiny,이게 내 운명이야,ige nae unmyeongiya
I didn't ask for this fate,이런 운명을 원한 적 없어,ireon unmyeongeul wonhan jeok eopseo
Every moment with you is a miracle,너와의 모든 순간이 기적이야,neowae modeun sungani gijeogiya
Don't cry,울지 마,ulji ma
These are happy tears,기쁜 눈물이야,gippeun nunmuriya
I'll protect you,내가 지켜 줄게,naega jikyeo julge
Stay by my side,내 곁에 있어 줘,nae gyeote isseo jwo
Who are you?,당신은 누구세요?,dangsineun nuguse-yo?
I'm the Grim Reaper,나는 저승사자야,naneun jeoseungsajaya
Life and death are not in my hands,생사는 내 손에 달린 게 아니야,saengsaneun nae sone dallin ge aniya
It's raining because I'm sad,내가 슬퍼서 비가 와,naega seulpeoseo biga wa
The weather changes with my mood,내 기분에 따라 날씨가 변해,nae gibune ttara nalssiga byeonhae
Let's have buckwheat noodles,메밀국수 먹자,memilguksu meokja
Do you want some chicken?,치킨 먹을래?,chikin meogeullae?
You're my first and last love,넌 나의 처음이자 마지막 사랑이야,neon naui choeumija majimak sarangiya
This is not a coincidence,이건 우연이 아니야,igeon uyeoni aniya
God is cruel,신은 잔인해,sineun janinhe
I have a request,부탁이 있어,butagi isseo
Can you grant my wish?,소원을 들어줄 수 있어?,sowoneul deureojul su isseo?
I'll find you in the next life,다음 생에서도 널 찾을게,daeum saengeseo-do neol chajeulge
Do you remember me?,나를 기억해?,nareul gieokhae?
I forgot everything,다 잊었어,da ijeosseo
But my heart remembers,하지만 마음은 기억해,hajiman maeumeun gieokhae
Love transcends time,사랑은 시간을 초월해,sarangeun siganeul chowolhae
I'll wait for you forever,영원히 기다릴게,yeongwonhi gidarilge
It's snowing,눈이 온다,nuni onda
The first snow is special,첫눈은 특별해,cheottnuneun teukbyeolhae
Make a wish on the first snow,첫눈에 소원을 빌어,cheottnune sowoneul bireo
My wish already came true,내 소원은 이미 이루어졌어,nae sowoneun imi irueojyeosseo
Because I met you,당신을 만났으니까,dangsineul mannasseunikka
I don't want to forget,잊고 싶지 않아,itgo sipji ana
Memories fade but love doesn't,기억은 사라져도 사랑은 안 사라져,gieogeun sarajyeodo sarangeun an sarajyeo
You changed my life,네가 내 인생을 바꿨어,nega nae insaengeul bakkwosseo
I was lonely before I met you,널 만나기 전엔 외로웠어,neol mannagi jeonien oeruwosseo
Now I have a reason to live,이제 살아갈 이유가 생겼어,ije saragal iyuga saenggyeosseo
Please don't leave me,제발 날 떠나지 마,jebal nal tteonaji ma
I'm right here,나 여기 있어,na yeogi isseo
I'll always be here,항상 여기 있을게,hangsang yeogi isseulge
Some things are meant to be,어떤 건 운명이야,eotteon geon unmyeongiya
Trust fate,운명을 믿어,unmyeongeul mideo
Everything happens for a reason,모든 일엔 이유가 있어,modeun iren iyuga isseo
The most ordinary days are the most precious,가장 평범한 날이 가장 소중한 날이야,gajang pyeongbeomhan nari gajang sojunghan nariya
I'm grateful for every day with you,너와 보내는 매일이 감사해,neowa bonaeneun maeiri gamsahae
This is not goodbye,이건 작별이 아니야,igeon jakbyeori aniya
We'll meet again,다시 만날 거야,dasi mannal geoya
Until we meet again,다시 만날 때까지,dasi mannal ttaekkaji
I'm watching over you,널 지켜보고 있어,neol jikyeobogo isseo
You're never alone,넌 절대 혼자가 아니야,neon jeoldae honjaga aniya
My love for you is eternal,너를 향한 내 사랑은 영원해,neoreul hyanghan nae sarangeun yeongwonhae
Miracles do exist,기적은 존재해,gijeogeun jonjaehae
You are my miracle,넌 나의 기적이야,neon naui gijeogiya
Love makes everything possible,사랑은 모든 걸 가능하게 해,sarangeun modeun geol ganeunghage hae
