english_text,korean_text,romanization
Good morning cutie,좋은 아침이양,joeun achimiang
Did you eat?,밥 먹었엉?,bap meogeosseong?
I miss you so much,보고시퍼ㅠㅠ,bogosipeoㅠㅠ
You are the cutest,넌 제일 귀여워,neon jeil gwiyeowo
I love you bunches,사랑해용,saranghaeyong
What are you doing right now?,지금 뭐 하고 이써?,jigeum mwo hago isseo?
Reply to me please,답장해줘잉,dapjanghae jwoing
I am sleepy,졸려용,jollyeoyong
Hehe that is funny,ㅋㅋㅋ 웃기당,kkk utgidang
I am eating yummy food,맛난 거 먹는 중이양,mannan geo meongneun jungiang
Send me a selfie,셀카 보내줘,selka bonaejwo
You look so pretty today,오늘 완전 이쁘당,oneul wanjeon ippeudang
My heart is fluttering,심쿵이야,simkungia
So so so cute,너무너무 귀여워,neomu neomu gwiyeowo
I am going to bed now,나 이제 잘 거양,na ije jal geoyang
Have sweet dreams,좋은 꿈 꿔용,joeun kkum kkwoyong
I had fun today,오늘 재밌었엉,oneul jaemisseosseong
Let's meet soon,빨리 만나장,ppalli mannajang
I bought something pretty,이쁜 거 샀어,ippeun geo sasseo
Look at this,이거 봐봐,igeo bwabwa
It is so yummy,완전 맛있당,wanjeon masitdang
I am happy,행복하당,haengbokadang
I will send a heart,하트 보낼게용,hateu bonalge yong
Thank you my dear,고마워용,gomawoyong
You make me smile,넌 날 웃게 해,neon nal utge hae
I am bored text me,심심해 문자해줘,simsimhae munjahae jwo
Guess what?,있잖아~,itjanha~
I want to see you,보고 싶어잉,bogo sipeoing
Sending you a hug,안아줄게용,anajulge yong
That is so adorable,완전 귀요미,wanjeon gwiyomi
I am on the bus now,나 버스 타고 있엉,na beoseu tago isseong
It is raining outside,밖에 비 온당,bakke bi ondang
Take care of yourself,몸 조심해용,mom josimhaeyong
Do not catch a cold,감기 걸리지 마용,gamgi geolliji mayong
I made food for you,너 줄려고 만들었엉,neo jullyeogo mandeureo sseong
Eat well please,잘 먹어용,jal meogeo yong
I am almost there,나 거의 다 왔엉,na geoui da wasseong
Wait a little bit,조금만 기다려용,jogeumman gidaryeoyong
I got home safely,잘 들어왔엉,jal deureowasseong
Did you get home safe?,잘 들어갔엉?,jal deureogasseong?
I cannot sleep,잠이 안 와용,jami an wayong
Are you sleeping?,자고 있엉?,jago isseong?
I was thinking of you,너 생각했엉,neo saenggakhaesseong
You are my favorite person,넌 내가 제일 좋아하는 사람이야,neon naega jeil joahaneun saramiya
I like you so much,너 진짜 좋아용,neo jinjja joahayong
Please do not be sick,아프지 마용,apeuji mayong
I got a new haircut,나 머리 잘랐엉,na meori jallasseong
Does it look good?,이뻐 보여?,ippeo boyeo?
Let us go on a date,데이트하장,deiteuhajang
I am so excited,완전 설레용,wanjeon seolleyong
Fighting! You can do it,화이팅이양!,hwaitingiang!
Do not be stressed,스트레스 받지 마용,seuteureseu batji mayong
Tomorrow will be better,내일은 더 좋을 거양,naeireun deo joeul geoyang
Stay warm,따뜻하게 입어용,ttatteuthage ibeoyong
I made you a playlist,너 줄려고 플리 만들었엉,neo jullyeogo peulli mandeureo sseong
I am cheering for you,응원할게용,eungwonhalge yong
I love your laugh,네 웃는 모습 좋아,ne unneun moseup joa
Be careful on the road,길 조심해용,gil josimhaeyong
I will always support you,항상 응원해줄게용,hangsang eungwonhaejulge yong
You are amazing,넌 대단해용,neon daedanhaeyong
