english_text,korean_text,romanization
Saving money,절약,jeolyak
Frugal,알뜰한,altteulhan
Budget,예산,yesan
Spending,소비,sobi
Overspending,과소비,gwasobi
Impulse buying,충동 구매,chungdong gumae
Unnecessary purchase,불필요한 구매,bulpiryohan gumae
Coupon,쿠폰,kupon
Discount,할인,harin
Sale,세일,seil
Clearance sale,정리 세일,jeongni seil
Buy one get one free,하나 사면 하나 더,hana samyeon hana deo
Bulk buying,대량 구매,daeryang gumae
Price comparison,가격 비교,gagyeok bigyo
Cheapest option,최저가,choejeoga
Second-hand,중고,junggo
Used items,중고 물품,junggo mulpum
Flea market,벼룩시장,byeoruksijang
Thrift store,중고 매장,junggo maejang
DIY,직접 만들기,jikjeop mandeulgi
Homemade,집에서 만든,jibeseo mandeun
Packed lunch,도시락,dosirak
Cook at home,집밥,jipbap
Meal prep,식사 준비,siksa junbi
Energy saving,에너지 절약,eneoji jeolyak
Turn off lights,불 끄기,bul kkeugi
Water saving,물 절약,mul jeolyak
Public transport,대중교통,daejunggyotong
Walking,걸어 다니기,georeo danigi
Bicycle,자전거,jajeongeo
Free activities,무료 활동,muryo hwaldong
Library,도서관,doseogwan
Park,공원,gongwon
Piggy bank,저금통,jeogeumtong
Savings account,저축 계좌,jeochuk gyejwa
Automatic savings,자동 이체,jadong iche
Emergency fund,비상금,bisanggeum
No-spend day,무지출 데이,mujichul dei
No-spend challenge,무지출 챌린지,mujichul chaellinji
Minimalism,미니멀리즘,minimeolliseum
Decluttering,정리 정돈,jeongni jeongdon
Needs vs wants,필요 vs 욕구,piryo vs yokgu
Essential,필수품,pilsupum
Non-essential,비필수품,bipilsupum
Subscription cancel,구독 취소,gudok chwiso
Cashback,캐시백,kaesibaek
Point accumulation,포인트 적립,pointeu jeongip
Membership card,멤버십 카드,membeosip kadeu
Happy hour,해피 아워,haepi awo
Early bird discount,조기 할인,jogi harin
I'm trying to save money,돈을 아끼려고 해요,doneul akkiryeogo haeyo
This is too expensive,이건 너무 비싸요,igeon neomu bissayo
Is there a cheaper option,더 싼 거 있어요,deo ssan geo isseoyo
I'll skip this purchase,이건 안 살게요,igeon an salgeyo
Every penny counts,푼돈도 모이면 목돈,pundondo moimyeon mokdon
Save first spend later,먼저 저축하고 나중에 쓰세요,meonjeo jeochukago najunge sseuseyo
I saved a lot this month,이번 달 많이 절약했어요,ibeon dal mani jeolyakhaesseoyo
Small savings add up,적은 절약이 쌓여요,jeogeun jeolyagi ssayeoyo
Let's find a deal,좋은 거래를 찾아보자,joeun georaereul chajaboja
Being frugal is smart,절약은 현명해요,jeolyageun hyeonmyeonghaeyo
