english_text,korean_text,romanization
I need a lawyer,변호사가 필요합니다,byeonhosaga piryohamnida
I want to file a lawsuit,소송을 제기하고 싶습니다,sosongeul jegihago sipseumnida
The defendant is not guilty,피고인은 무죄입니다,pigoineun mujoeimnida
The plaintiff filed a claim,원고가 소를 제기했습니다,wongoga soreul jegihaetsseumnida
The verdict has been reached,판결이 나왔습니다,pangyeori nawatsseumnida
The sentence was five years,형량은 5년입니다,hyeongnangeun onyeonimnida
I plead not guilty,무죄를 주장합니다,mujoereul jujjanghamnida
The evidence is insufficient,증거가 불충분합니다,jeungeoga bulchungbunhamnida
The witness testified,증인이 증언했습니다,jeungini jeungeonnhaetsseumnida
I want to appeal the decision,항소하고 싶습니다,hangsohago sipseumnida
The contract is binding,계약은 구속력이 있습니다,gyeyageun gusongnyeogi itsseumnida
This violates the law,이것은 법을 위반합니다,igeoseun beobeul wibanhamnida
I need legal advice,법률 상담이 필요합니다,beomnyul sangdami piryohamnida
The statute of limitations expired,공소시효가 만료되었습니다,gongsosihyoga mallyodoeeotsseumnida
The court is in session,법정이 개정 중입니다,beopjeongi gaejeong jungimnida
The judge made a ruling,판사가 판결을 내렸습니다,pansaga pangyeoreul naeryeotsseumnida
I have the right to remain silent,묵비권을 행사합니다,mukbigwoneul haengsahamnida
I want to press charges,고소하고 싶습니다,gosohago sipseumnida
The bail has been set,보석금이 정해졌습니다,boseokgeumi jeonghaejyeotsseumnida
A warrant has been issued,영장이 발부되었습니다,yeongjjangi balbdoeeotsseumnida
The jury reached a verdict,배심원이 평결을 내렸습니다,baesimwoni pyeonggyeoreul naeryeotsseumnida
This is a civil case,이것은 민사 사건입니다,igeoseun minsa sagonimnida
This is a criminal case,이것은 형사 사건입니다,igeoseun hyeongsa sagonimnida
I need to sign an affidavit,선서 진술서에 서명해야 합니다,seonseo jinsulseoe seomyeonghaeya hamnida
The lawsuit was dismissed,소송이 기각되었습니다,sosongi gigakdoeeotsseumnida
I'll consult with my attorney,변호사와 상의하겠습니다,byeonhosawa sanguihagesseumnida
The deposition is scheduled,증언 녹취가 예정되어 있습니다,jeungeon nokchwiga yejeongdoeeo itsseumnida
The mediation was successful,조정이 성공했습니다,jojeong-i seonggonghatsseumnida
A settlement was reached,합의에 도달했습니다,habuie dodalhaetsseumnida
The arbitration is pending,중재가 진행 중입니다,jungjae-ga jinhaeng jungimnida
Intellectual property rights,지적 재산권,jijeok jaesangwon
This is trademark infringement,이것은 상표권 침해입니다,igeoseun sangpyogwon chimhaeimnida
Copyright protection applies,저작권이 보호됩니다,jeojakkwoni bohodwemnida
The patent has been filed,특허가 출원되었습니다,teukheoga chulwondoeeotsseumnida
Breach of contract,계약 위반,gyeyak wiban
The terms and conditions apply,이용 약관이 적용됩니다,iyong yakgwani jeogyongdwemnida
This is against regulations,이것은 규정에 어긋납니다,igeoseun gyujeong-e eogeutnamnida
I need to file a complaint,고소장을 제출해야 합니다,gosojjangeul jechulhaeya hamnida
The hearing is next month,심리가 다음 달입니다,simniga daeum darimnida
The prosecution rested its case,검찰이 입증을 마쳤습니다,geomchaliipjeungeul machyeotsseumnida
The defense presented evidence,변호인이 증거를 제시했습니다,byeonhoini jeungeoreul jesihaetsseumnida
Legal fees are expensive,법률 비용이 비쌉니다,beomnyul biyongi bissamnida
This is a misdemeanor,이것은 경범죄입니다,igeoseun gyeongbeomjoeimnida
This is a felony,이것은 중범죄입니다,igeoseun jungbeomjoeimnida
Probation was granted,집행유예가 선고되었습니다,jiphaengyuyega seongodoeeotsseumnida
The fine is one million won,벌금은 백만 원입니다,beolgeumeun baekman wonimnida
A restraining order was issued,접근 금지 명령이 발부되었습니다,jeopgeun geumji myeongnyeongi balbdoeeotsseumnida
The trial begins tomorrow,재판이 내일 시작됩니다,jaepani naeil sijakdwemnida
I need a power of attorney,위임장이 필요합니다,wiimjangi piryohamnida
The notarization is complete,공증이 완료되었습니다,gongjeungi wallyodoeeotsseumnida
Due diligence is required,실사가 필요합니다,silsaga piryohamnida
The liability is clear,책임이 명확합니다,chaegimi myeonghwakhamnida
Negligence was proven,과실이 입증되었습니다,gwasiri ipjeungdoeeotsseumnida
The indictment was issued,기소장이 발부되었습니다,gisojangi balbdoeeotsseumnida
The acquittal was announced,무죄 판결이 선고되었습니다,mujoe pangyeori seongodoeeotsseumnida
Double jeopardy applies,일사부재리 원칙이 적용됩니다,ilsabujaeri wonchigi jeogyongdwemnida
The parole board decided,가석방 심사위원회가 결정했습니다,gaseokbang simsawiwonhoega gyeoljeonghaetsseumnida
Justice must be served,정의가 실현되어야 합니다,jeongeuiga silhyeondoeoeya hamnida
The law applies equally to all,법은 모든 사람에게 평등하게 적용됩니다,beobeun modeun saramege pyeongdeunghage jeogyongdwemnida
Legal protection is guaranteed,법적 보호가 보장됩니다,beopjeok bohoga bojanghamnidaPrevention is better than cure
