english_text,korean_text,romanization
Please help me,도와주세요,dowajuseyo
Please call 119,119에 전화해 주세요,baeksibiue jeonhwahae juseyo
Please call the police,경찰 불러 주세요,gyeongchal bulleo juseyo
Please call an ambulance,구급차 불러 주세요,gugeupcha bulleo juseyo
I'm hurt,다쳤어요,dachyeosseoyo
I'm sick,아파요,apayo
I have a headache,머리가 아파요,meoriga apayo
I have a stomachache,배가 아파요,baega apayo
I have a fever,열이 나요,yeori nayo
I have a cold,감기에 걸렸어요,gamgie geollyeosseoyo
I feel dizzy,어지러워요,eojireowoyo
I feel nauseous,속이 메스꺼워요,sogi meskkeowoyo
I can't breathe well,숨쉬기 힘들어요,sumsswigi himdeuleoyo
Where is the hospital?,병원 어디예요?,byeongwon eodiyeyo?
Where is the pharmacy?,약국 어디예요?,yakguk eodiyeyo?
I need medicine,약이 필요해요,yagi piryohaeyo
Do I need a prescription?,처방전 필요해요?,cheobangjeseon piryohaeyo?
I'm allergic to this medicine,이 약에 알레르기 있어요,i yage allereugi isseoyo
I have high blood pressure,고혈압이 있어요,gohyeorabi isseoyo
I have diabetes,당뇨가 있어요,dangnyoga isseoyo
I lost my wallet,지갑을 잃어버렸어요,jigabeul ireobeoryeosseoyo
I lost my passport,여권을 잃어버렸어요,yeogwoneul ireobeoryeosseoyo
I lost my phone,핸드폰을 잃어버렸어요,haendeupon-eul ireobeoryeosseoyo
My bag was stolen,가방을 도둑맞았어요,gabangeul dodungmajasseoyo
There's been an accident,사고가 났어요,sagoga nasseoyo
There's a fire,불이 났어요,buri nasseoyo
It's an emergency,긴급 상황이에요,gingeup sanghwangieyo
Please take me to the hospital,병원에 데려다 주세요,byeongwone deryeoda juseyo
Where is the emergency room?,응급실 어디예요?,eunggeups il eodiyeyo?
I need to see a doctor,의사 선생님을 만나야 해요,uisa seonsaengnimeul mannaya haeyo
My tooth hurts,이가 아파요,iga apayo
My back hurts,허리가 아파요,heoriga apayo
My leg hurts,다리가 아파요,dariga apayo
My arm hurts,팔이 아파요,pari apayo
I broke my bone,뼈가 부러졌어요,ppyeoga bureojyeosseoyo
I got burned,화상을 입었어요,hwasangeul ibeosseoyo
I got stung,벌에 쏘였어요,beore ssoyeosseoyo
I'm bleeding,피가 나요,piga nayo
I need a bandage,반창고 있어요?,banchanggo isseoyo?
Do you have pain medicine?,진통제 있어요?,jintongje isseoyo?
Do you have cold medicine?,감기약 있어요?,gamgiyak isseoyo?
Do you have digestive medicine?,소화제 있어요?,sohwaje isseoyo?
I have insurance,보험 있어요,boheom isseoyo
I don't have insurance,보험 없어요,boheom eopseoyo
Can you speak English?,영어 하실 수 있어요?,yeongeo hasil su isseoyo?
I don't speak Korean well,한국어 잘 못해요,hangugeo jal motaeyo
Please speak slowly,천천히 말해 주세요,cheoncheonhi malhae juseyo
Where is the embassy?,대사관 어디예요?,daesagwan eodiyeyo?
I need to contact my embassy,대사관에 연락해야 해요,daesagwane yeollakaeya haeyo
Is it safe here?,여기 안전해요?,yeogi anjeonhaeyo?
Please be careful,조심하세요,josimhaseyo
Watch out!,위험해요!,wiheomhaeyo!
Stay calm,침착하세요,chimchakaseyo
Don't worry,걱정하지 마세요,geokjeonghaji maseyo
Everything will be okay,다 괜찮을 거예요,da gwaenchaneul geoyeyo
Where is the police station?,경찰서 어디예요?,gyeongchalseo eodiyeyo?
I want to file a report,신고하고 싶어요,singohago sipeoyo
Can you help me find this?,이거 찾는 거 도와줄 수 있어요?,igeo channeun geo dowajul su isseoyo?
I have travel insurance,여행자 보험 있어요,yeohaengja boheom isseoyo
Where is the lost and found?,분실물센터 어디예요?,bunsilmulsenteo eodiyeyo?
