english_text,korean_text,romanization
Festival,축제,chukje
Celebration,축하,chukha
Fireworks,불꽃놀이,bulkkonnori
Parade,퍼레이드,pereeideu
Traditional dance,전통 춤,jeontong chum
Folk music,민속 음악,minsok eumak
Street performance,거리 공연,geori gongyeon
Food booth,음식 부스,eumsik buseu
Game booth,게임 부스,geim buseu
Lantern festival,등불 축제,deungbul chukje
Cherry blossom festival,벚꽃 축제,beotkkot chukje
Mud festival,머드 축제,meodeu chukje
Ice festival,얼음 축제,eoreum chukje
Film festival,영화제,yeonghwaje
Music festival,음악 축제,eumak chukje
When is the festival?,축제가 언제예요?,chukjega eonjeeyeyo
Where is the festival held?,축제가 어디서 열려요?,chukjega eodiseo yeollyeoyo
Is admission free?,입장이 무료인가요?,ipjang-i muryoingayo
It is very crowded,사람이 정말 많아요,sarami jeongmal manayo
Let's go together,같이 가요,gachi gayo
Event schedule,행사 일정,haengsa iljeong
Opening ceremony,개막식,gaemaksik
Closing ceremony,폐막식,pyemaksik
Performance lineup,공연 라인업,gongyeon raineoip
Main stage,메인 무대,mein mudae
Special event,특별 행사,teukbyeol haengsa
Souvenir,기념품,ginyeompum
Photo zone,포토존,potozohn
Face painting,페이스 페인팅,peiseu peinting
Costume contest,의상 대회,uisang daehoe
Traditional mask,탈,tal
Drum performance,북 공연,buk gongyeon
Fan dance,부채춤,buchaechum
Samulnori,사물놀이,samulnori
Fireworks are beautiful,불꽃놀이가 예뻐요,bulkkonnoriga yeppeoyo
I had so much fun,정말 재미있었어요,jeongmal jaemiisseosseoyo
There are many things to see,볼거리가 많아요,bolkeoriga manayo
The atmosphere is great,분위기가 좋아요,bunwigiga joayo
Let's take a picture here,여기서 사진 찍자,yeogiseo sajin jjikja
I bought a souvenir,기념품을 샀어요,ginyeompumeul sasseoyo
Night event,야간 행사,yagan haengsa
Campfire,캠프파이어,kaempeupaieo
Tent,텐트,tenteu
Outdoor stage,야외 무대,yaoe mudae
Balloon,풍선,pungseon
Banner,현수막,hyeonsumak
What should we eat first?,뭐부터 먹을까?,mwobuteo meogeulkka
This is my first time here,여기 처음 왔어요,yeogi cheoeum wasseoyo
Shall we watch the parade?,퍼레이드 볼까요?,pereeideu bolkkayo
The festival ends today,축제가 오늘 끝나요,chukjega oneul kkeunnayo
I want to come again next year,내년에 또 오고 싶어요,naenyeone tto ogo sipeoyo
How do we get there?,거기 어떻게 가요?,geogi eotteoke gayo
Is there a shuttle bus?,셔틀버스 있어요?,syeoteolbeoseu isseoyo
I recommend this festival,이 축제 추천해요,i chukje chucheonhaeyo
It is a famous festival,유명한 축제예요,yumyeonghan chukjeyeyo
The food here is delicious,여기 음식이 맛있어요,yeogi eumsigi masisseoyo
Let's meet at the entrance,입구에서 만나요,ipgueseo mannayo
Can we sit here?,여기 앉아도 돼요?,yeogi anjado dwaeyo
What time does it end?,몇 시에 끝나요?,myeot sie kkeunnayo
It was a great experience,좋은 경험이었어요,joeun gyeongheomieosseoyo
Let's enjoy the festival,축제를 즐겨요,chukjereul jeulgyeoyo
