english_text,korean_text,romanization
History,역사,yeoksa
Korean history,한국사,hanguksa
Ancient times,고대,godae
Medieval period,중세,jungse
Modern era,근대,geundae
Contemporary era,현대,hyeondae
Dynasty,왕조,wangjo
Kingdom,왕국,wangguk
King,왕,wang
Queen,왕비,wangbi
Crown prince,세자,seja
Princess,공주,gongju
Royal court,궁중,gungjung
Palace,궁궐,gunggwol
Throne,왕좌,wangja
Minister,대신,daesin
General,장군,janggun
Scholar,학자,hakja
Gojoseon (ancient Korea),고조선,gojoseon
Three Kingdoms period,삼국시대,samguksidae
Goguryeo,고구려,goguryeo
Baekje,백제,baekje
Silla,신라,silla
Unified Silla,통일 신라,tongil silla
Goryeo Dynasty,고려,goryeo
Joseon Dynasty,조선,joseon
Japanese colonial period,일제강점기,iljegangjieomgi
Korean War,한국전쟁,hangukjeonjaeng
Liberation Day,광복절,gwangbokjeol
Independence movement,독립운동,dongnipundong
Patriot,독립운동가,dongnipundongga
National hero,국민 영웅,gungmin yeongung
Important historical event,중요한 역사적 사건,jungyohan yeoksajeok sageon
Historical figure,역사적 인물,yeoksajeok inmul
Cultural heritage,문화유산,munhwayusan
National treasure,국보,gukbo
Historical site,유적지,yujeokji
Artifact,유물,yumul
Excavation,발굴,balgul
Ancient document,고문서,gomunseo
Chronicle,연대기,yeondaegi
Historical record,사료,saryo
Battle,전투,jeontu
Treaty,조약,joyak
Alliance,동맹,dongmaeng
Invasion,침략,chimnyak
Defense,방어,bangeo
Unification,통일,tongil
Division,분단,bundan
North and South Korea,남북한,nambukhan
Demilitarized zone (DMZ),비무장지대,bimujangidae
Armistice,휴전,hyujeon
Democracy movement,민주화 운동,minjuhwa undong
Economic miracle,경제 기적,gyeongje gijeok
Rapid development,급속한 발전,geupsokan baljeon
Joseon era Confucianism,조선시대 유교,joseonsidae yugyo
Hangul creation,한글 창제,hangeul changje
King Sejong,세종대왕,sejongdaewang
Turtle ship,거북선,geobukseon
Admiral Yi Sun-sin,이순신 장군,isunsin janggun
History is fascinating,역사는 흥미로워요,yeoksaneun heungmirowoyo
