english_text,korean_text,romanization
Morning routine,아침 루틴,achim rutin
Wake up,일어나다,ireonada
Alarm clock,알람 시계,allam sigye
Snooze,알람 미루기,allam mirugi
Get out of bed,침대에서 일어나기,chimdaeeseo ireonagi
Stretch,스트레칭,seuteureching
Morning exercise,아침 운동,achim undong
Yoga,요가,yoga
Jogging,조깅,joging
Push-ups,팔굽혀펴기,palguphyeopyeogi
Cold shower,찬물 샤워,chanmul syawo
Hot shower,뜨거운 물 샤워,tteugeoun mul syawo
Wash face,세수하다,sesuhada
Brush teeth,양치하다,yangchihada
Skincare routine,스킨케어 루틴,seukinkeo rutin
Moisturizer,보습제,bosupje
Sunscreen,선크림,seonkeurim
Get dressed,옷 입다,ot ipda
Choose outfit,옷 고르기,ot goreugi
Make the bed,이불 정리,ibul jeongni
Open curtains,커튼 열기,keoteon yeolgi
Fresh air,환기,hwangi
Drink water,물 마시기,mul masigi
Morning coffee,아침 커피,achim keopi
Tea,차,cha
Breakfast,아침 식사,achim siksa
Quick breakfast,간단한 아침,gandanhan achim
Smoothie,스무디,seumudi
Toast,토스트,toseuteu
Cereal,시리얼,sirioeol
Egg,계란,gyeran
Rice,밥,bap
Meal prep,식사 준비,siksa junbi
Pack lunch,도시락 싸기,dosirak ssagi
Check phone,핸드폰 확인,haendeupon hwagin
Read news,뉴스 읽기,nyuseu ilkgi
Check email,이메일 확인,imeil hwagin
Check schedule,일정 확인,iljeong hwagin
To-do list,할 일 목록,hal il mongnog
Journal writing,일기 쓰기,ilgi sseugi
Gratitude practice,감사 연습,gamsa yeonseup
Meditation,명상,myeongsang
Affirmations,긍정 확언,geungjeong hwageon
Reading,독서,dokseo
Podcast,팟캐스트,patkaeseuteu
Commute,출근,chulgeun
Leave home,집에서 나가기,jibeseo nagagi
Take the subway,지하철 타기,jihacheol tagi
Drive to work,차로 출근,charo chulgeun
Walk to work,걸어서 출근,geoleoseo chulgeun
Arrive at work,회사 도착,hoesa dochak
Good morning,좋은 아침,joeun achim
I'm a morning person,저는 아침형 인간이에요,jeoneun achimhyeong inganieyo
I'm not a morning person,저는 아침에 약해요,jeoneun achime yakhaeyo
What time do you wake up,몇 시에 일어나요,myeot sie ireonayo
I wake up at 6,여섯 시에 일어나요,yeoseot sie ireonayo
My morning routine takes an hour,아침 루틴에 한 시간 걸려요,achim rutine han sigan geollyeoyo
A good morning starts the day right,좋은 아침이 하루를 바꿔요,joeun achimi harureul bakkwoyo
I need my morning coffee,아침 커피가 필수예요,achim keopiga pilsuyeyo
Early to bed early to rise,일찍 자고 일찍 일어나기,iljjik jago iljjik ireonagi
