english_text,korean_text,romanization
I want to get a haircut,머리를 자르고 싶어요,meorireul jareugo sipeoyo
Just a trim please,다듬기만 해주세요,dadeumgiman haejuseyo
I want to cut it short,짧게 잘라주세요,jjalpge jallajuseyo
Don't cut it too short,너무 짧게 자르지 마세요,neomu jjalpge jareuji maseyo
I want to keep the length,길이는 유지해 주세요,girineun yujihae juseyo
I want bangs,앞머리를 만들어 주세요,ammeorireul mandeureo juseyo
Please thin out my bangs,앞머리 숱을 쳐주세요,ammeori suteul chyeojuseyo
I want layers,레이어드 컷으로 해주세요,reieodeu keoseuro haejuseyo
I want to dye my hair,염색하고 싶어요,yeomsaekhago sipeoyo
What color do you recommend,어떤 색을 추천하세요,eotteon saegeul chucheonhaseyo
I want brown hair,갈색으로 염색해 주세요,galsaegeuro yeomsaekhae juseyo
I want blonde highlights,금발 하이라이트를 넣어주세요,geumbal hairaiteu-reul noeojuseyo
I need to touch up my roots,뿌리 염색을 해야 해요,ppuri yeomsaegeul haeya haeyo
I want to get a perm,파마를 하고 싶어요,pamareul hago sipeoyo
I want loose curls,큰 웨이브로 해주세요,keun weibeuro haejuseyo
I want a straight perm,매직 스트레이트를 하고 싶어요,maejik seuteureiteu-reul hago sipeoyo
My hair is very dry,머리카락이 너무 건조해요,meorikaragil neomu geonjohaeyo
I have damaged hair,머리가 손상되었어요,meoriga sonsangdoeeosseoyo
I need a hair treatment,헤어 트리트먼트가 필요해요,heeo teuriteumeonteu-ga piryohaeyo
Can you recommend a good shampoo,좋은 샴푸 추천해 주세요,joeun syampu chucheonhae juseyo
I use conditioner every day,매일 린스를 써요,maeil rinseureul sseoyo
Hair oil makes my hair shiny,헤어 오일이 머릿결을 좋게 해요,heeo oiri meoritgyeoreul joke haeyo
I blow-dry my hair,드라이기로 머리를 말려요,deuraigiro meorireul mallyeoyo
I use a flat iron,고데기로 머리를 펴요,godegiro meorireul pyeoyo
I curl my hair with a curling iron,고데기로 머리를 말아요,godegiro meorireul marayo
I tie my hair in a ponytail,포니테일로 묶어요,poniteiro mukkeeoyo
I wear my hair down,머리를 풀고 다녀요,meorireul pulgo danyeoyo
I braid my hair,머리를 땋아요,meorireul ttahayo
I want an updo,업스타일로 해주세요,eopseutairo haejuseyo
I part my hair on the side,옆으로 가르마를 타요,yeopeuro gareumareul tayo
I part my hair in the middle,가운데 가르마를 타요,gaunde gareumareul tayo
My hair is falling out,머리가 빠지고 있어요,meoriga ppajigo isseoyo
I have dandruff,비듬이 있어요,bideum-i isseoyo
I need an anti-dandruff shampoo,비듬 방지 샴푸가 필요해요,bideum bangji syampu-ga piryohaeyo
My hair is thick,머리카락이 두꺼워요,meorikaragil dukkeowoyo
My hair is thin,머리카락이 가늘어요,meorikaragil ganeureoyo
I have curly hair,곱슬머리예요,gopseulmeori-yeyo
I have straight hair,생머리예요,saengmeori-yeyo
How much is a haircut,커트 비용이 얼마예요,keoteu biyongi eolmayeyo
How much is a perm,파마 비용이 얼마예요,pama biyongi eolmayeyo
How much is coloring,염색 비용이 얼마예요,yeomsaek biyongi eolmayeyo
I have a reservation at two,두 시에 예약이 있어요,du sie yeyagi isseoyo
I'd like to make an appointment,예약하고 싶어요,yeyakhago sipeoyo
Which stylist do you want,어떤 스타일리스트를 원하세요,eotteon seutailriseuteu-reul wonhaseyo
I want the same stylist as last time,지난번과 같은 스타일리스트로 해주세요,jinanbeon-gwa gateun seutailriseuteuro haejuseyo
Can I see some hairstyle photos,헤어 스타일 사진을 볼 수 있어요,heeo seutail sajineul bol su isseoyo
I want this hairstyle,이 스타일로 해주세요,i seutaillo haejuseyo
That looks good on you,잘 어울리세요,jal eoulriseyo
I love my new hairstyle,새 헤어 스타일이 마음에 들어요,sae heeo seutairi maeume deureoyo
It turned out great,결과가 좋아요,gyeolgwaga joayo
I need to wash my hair,머리를 감아야 해요,meorireul gamaya haeyo
Hair care is important,헤어 관리가 중요해요,heeo gwanriga jungyohaeyo
Regular trims keep hair healthy,정기적으로 다듬으면 건강해요,jeonggijeog-euro dadeumeunyeon geonganghaeyo
Don't use too much heat on your hair,머리에 열을 너무 많이 가하지 마세요,meorie yeoreul neomu mani gahaji maseyo
Protect your hair from the sun,자외선으로부터 머리를 보호하세요,jaoesoneurobuto meorireul bohohaseyo
Use a wide-tooth comb for wet hair,젖은 머리는 굵은 빗으로 빗어요,jeojeun meorineun gulgeun bisuro biseoyo
My new hair color looks natural,새 머리 색이 자연스러워요,sae meori saegi jayeonseureowoyo
A good hairstyle boosts confidence,좋은 헤어 스타일이 자신감을 줘요,joeun heeo seutairi jasingameul jwoyo
Find a style that suits your face,얼굴형에 맞는 스타일을 찾으세요,eolgulhyeonge manneun seutaireul chajeuseyoA good haircut makes a big difference,좋은 머리 스타일이 큰 차이를 만들어요,joeun meori seutairi keun chairreul mandeureoyo
Hair health starts from within,모발 건강은 내면에서 시작해요,mobal geongangeun naemyeoneseo sijakaeyo
