english_text,korean_text,romanization
Oppa please,오빠 제발,oppa jebal
You are so cute,너무 귀여워,neomu gwiyeowo
I love you so much,너무너무 사랑해,neomuneomu saranghae
Pretty please,응? 해줘,eung? haejwo
Don't be mad at me,나한테 화내지 마,nahante hwanaeji ma
I missed you so much,너무 보고 싶었어,neomu bogo sipeosseo
Give me a hug,안아줘,anajwo
You are the best,최고야,choegoya
Buy me food please,밥 사줘,bap sajwo
I'm so adorable right?,나 귀엽지?,na gwiyeopji
Look at me,나 봐봐,na bwabwa
Smile for me,웃어봐,useobwa
Do it for me please,나 대신 해줘,na daesin haejwo
I'm sorry forgive me,미안 용서해줘,mian yongseohae jwo
Carry me on your back,업어줘,eobeojwo
Hold my hand,손 잡아줘,son jabajwo
Pat my head,머리 쓰다듬어줘,meori sseudadeumeo jwo
Feed me,먹여줘,meogyeojwo
I want it,나 이거 갖고 싶어,na igeo gatgo sipeo
Pretty pretty please,예쁘게 해줘,yeppeuge haejwo
I'll be good,잘할게,jalhalge
Pinky promise,새끼손가락 걸자,saekkisongarak geolja
You don't love me?,나 안 좋아해?,na an joahae
Don't leave me,나 두고 가지 마,na dugo gaji ma
I'm cold warm me up,추워 따뜻하게 해줘,chuwo ttatteuthage haejwo
I'm lonely,나 외로워,na oerowo
Come here,이리 와,iri wa
Stay with me,나랑 같이 있어줘,narang gachi isseojwo
Say you love me,사랑한다고 해줘,saranghandago haejwo
Am I pretty?,나 예뻐?,na yeppeo
Tell me I'm cute,나 귀엽다고 해줘,na gwiyeopdago haejwo
One more time please,한 번만 더,han beonman deo
I'm pouting,나 삐졌어,na ppijyeosseo
Aegyo attack,애교 공격,aegyo gonggyeok
Wink wink,윙크,wingkeu
Bbuing bbuing,뿌잉뿌잉,ppuing ppuing
Heart attack,심쿵,simkung
Cutie pie,귀요미,gwiyomi
My heart flutters,심장이 두근두근,simjangi dugeundugeun
Butterflies in my stomach,설레어,seolleeo
You make me happy,너 때문에 행복해,neo ttaemune haengbokhae
I'm a baby,나 아기야,na agiya
Tickle tickle,간지간지,ganjiganjji
Kiss kiss,뽀뽀,ppoppo
Chu sound,쪽,jjok
Snuggle with me,꼭 안아줘,kkok anajwo
Calling someone honey,자기야,jagiya
Calling someone darling,여보,yeobo
You are mine,넌 내 거야,neon nae geoya
My sweet person,내 사람,nae saram
We match well together,우리 잘 어울린다,uri jal eoulrinda
Perfect couple,찰떡궁합,chaltteokkgunghap
Love shot,러브샷,reobeu syat
Linking arms,팔짱 끼자,paljjang kkija
Back hug,백허그,baekheogeu
Forehead kiss,이마 뽀뽀,ima ppoppo
Couple look,커플룩,keopeulluk
Matching rings,커플링,keoplling
Anniversary,기념일,ginyeomil
Heart sign with fingers,손가락 하트,songarak hateu
Love you forever,영원히 사랑해,yeongwonhi saranghae
