english_text,korean_text,romanization
Attention please look at me,관심 가져줘 날 봐줘,gwansim gajyeojwo nal bwajwo
Super shy when I see you,널 보면 엄청 수줍어,neol bomyeon eomcheong sujubeo
I get butterflies,나비가 내 안에서 날아,nabiga nae aneseo nara
New jeans new me,새로운 진스 새로운 나,saeroun jinseu saeroun na
Cookie sweet and lovely,쿠키처럼 달콤하고 사랑스러워,kukicheoreom dalkomhago sarangseureowo
Hype boy you make me crazy,넌 날 미치게 해,neon nal michige hae
Tell me what to do,어떻게 해야 할지 말해줘,eotteoke haeya halji malhaejwo
I feel so alive tonight,오늘 밤 살아있는 느낌,oneul bam sarainneun neukkim
Ditto means I feel the same,나도 같은 마음이야,nado gateun maeumiya
OMG you're so gorgeous,세상에 너 너무 예뻐,sesange neo neomu yeppeo
Cool with me right here,여기서 함께 좋아,yeogiseo hamkke joa
Bubble gum pop and fun,풍선껌처럼 톡톡 터져,pungseonkkeomcheoreom toktok teojyeo
Right now is perfect,지금 이 순간이 완벽해,jigeum i sungani wanbyeokhae
Zero filter just real me,필터 없이 있는 그대로,pilteo eopsi inneun geudaero
Hurt but still standing,아프지만 여전히 서 있어,apeujiman yeojeonhi seo isseo
Calling your name out loud,네 이름을 크게 불러,ne ireumeul keuge bulleo
How sweet would it be,얼마나 달콤할까,eolmana dalkomhalkka
Get up and dance with me,일어나서 나랑 춤춰,ireonaseo narang chumchwo
Never been so happy,이렇게 행복한 적 없어,ireoke haengbokhan jeok eopseo
You make my heart go fast,심장이 빨리 뛰어,simjangi ppalli ttwieo
Like a dream come true,꿈이 현실이 된 것 같아,kkumi hyeonsiri doen geot gata
Wanna be your number one,네 첫 번째가 되고 싶어,ne cheot beonjjaega doego sipeo
Moonlight shines on us,달빛이 우리를 비춰,dalbichi urireul bichwo
Young and wild and free,젊고 거칠고 자유로워,jeolmgo geochilgo jayurowo
Summer vibes all day,여름 느낌 하루 종일,yeoreum neukkim haru jongil
Heart skipping a beat,심장이 한 박자 뛰어넘어,simjangi han bakja ttwieoneomeo
I can't stop thinking about you,네 생각을 멈출 수 없어,ne saenggageul meomchul su eopseo
Running towards the sun,태양을 향해 달려,taeyanguel hyanghae dallyeo
Ice cold but so hot,차갑지만 뜨거워,chagapjiman tteugeowo
Love at first sight,첫눈에 반했어,cheonnune banhaesseo
This feeling is electric,이 느낌은 전기 같아,i neukkimeun jeongi gata
Dancing under the stars,별 아래서 춤춰,byeol araeseo chumchwo
You light up my world,네가 내 세상을 밝혀,nega nae sesangeul balkhyeo
Can't take my eyes off you,눈을 뗄 수가 없어,nuneul ttel suga eopseo
Feeling brand new today,오늘 완전 새로운 기분,oneul wanjeon saeroun gibun
We were made for each other,우린 천생연분이야,urin cheonsaengyeonbuniya
Blue sky and you,파란 하늘 그리고 너,paran haneul geurigo neo
Lost in your eyes,네 눈에 빠졌어,ne nune ppajyeosseo
Spinning around and around,빙글빙글 돌아,binggeulbinggeul dora
My heart says yes,내 마음이 그렇다고 해,nae maeumi geureotdago hae
Just be yourself,너답게 있으면 돼,neodapge isseumyeon dwae
Weekend mood activated,주말 기분 온,jumal gibun on
Sunshine in my pocket,주머니 속 햇살,jumeoni sok haetsal
Color me surprised,놀라움으로 물들여줘,nollaumeuro muldeullyeojwo
Sweeter than honey,꿀보다 달콤해,kkulboda dalkomhae
I'm falling for you,너에게 빠져들고 있어,neoege ppajyeodeulgo isseo
Nothing compares to you,너와 비교할 수 있는 건 없어,neowa bigyohal su inneun geon eopseo
Midnight magic moment,자정의 마법 같은 순간,jajeongui mabeop gateun sungan
Fresh start new chapter,새로운 시작 새 챕터,saeroun sijak sae chaepteo
This is our era,이 시대는 우리 거야,i sidaeneun uri geoya
Dream big shine bright,크게 꿈꾸고 밝게 빛나,keuge kkumkkugo balkge binna
Vibes so good right now,지금 분위기 최고,jigeum bunwigi choego
Spring breeze feels like you,봄바람이 너 같아,bombarami neo gata
Dancing in the rain,빗속에서 춤춰,bissogeseo chumchwo
Together is better,함께가 더 좋아,hamkkega deo joa
Your smile is my favorite,네 미소가 제일 좋아,ne misoga jeil joa
Hearts aligned like stars,마음이 별처럼 맞닿아,maeumi byeolcheoreom matdaa
Sound of our heartbeat,우리 심장 소리,uri simjang sori
Catch me I'm falling,잡아줘 빠지고 있어,jabajwo ppajigo isseo
This is just the beginning,이건 시작일 뿐이야,igeon sijagil ppuniya
Forever sounds good with you,영원이 너랑이면 좋겠다,yeongwoni neorangimyeon jokgetda
