english_text,korean_text,romanization
I have a blind date today,오늘 소개팅이 있어요,oneul sogaetingi isseoyo
My company set up a blind date,회사에서 맞선을 주선했어요,hoesaeseo matseoneul jusonhaesseoyo
I don't want to go on a blind date,소개팅 가고 싶지 않아요,sogaeting gago sipji anayo
Can someone go in my place?,대신 가 줄 사람 없어요?,daesin ga jul saram eopseoyo
I went instead of my friend,친구 대신 갔어요,chingu daesin gasseoyo
I pretended to be someone else,다른 사람인 척했어요,dareun saramin cheokhaesseoyo
This is so embarrassing,너무 창피해요,neomu changpihaeyo
I got caught,들켰어요,deulkyeosseoyo
I can explain,설명할 수 있어요,seolmyeonghal su isseoyo
It's not what you think,생각하는 것과 달라요,saenggakhaneun geotgwa dallayo
Please let me explain,말 좀 들어 봐요,mal jom deureo bwayo
I didn't mean to deceive you,속이려고 한 게 아니에요,sogiryeogo han ge anieyo
I'm sorry for lying,거짓말해서 미안해요,geojitmalhaeoseo mianhaeyo
Can we start over?,다시 시작할 수 있을까요?,dasi sijakhal su isseulkkayo?
I want to be honest with you,솔직하고 싶어요,soljikago sipeoyo
The truth is I like you,사실 당신을 좋아해요,sasil dangsineul joahahaeyo
From the first moment I saw you,처음 본 순간부터,cheoeum bon sunganbuteo
My heart knew,마음은 알고 있었어요,maeumeun algo isseosseoyo
You're different from what I expected,생각했던 것과 달라요,saenggakhaetdeon geotgwa dallayo
In a good way,좋은 의미로요,joeun uimiroyo
You're full of surprises,의외의 매력이 있어요,uioeui maeryeogi isseoyo
That's what I like about you,그게 당신의 매력이에요,geuge danshinui maeryeogieyo
Stop making my heart flutter,심장 떨리게 하지 마세요,simjang tteollige haji maseyo
I can't concentrate at work,일에 집중이 안 돼요,ire jipjungi an dwaeyo
Because I keep thinking about you,계속 당신 생각이 나서,gyesok dangsin saenggagi naseo
Are you thinking about me too?,당신도 제 생각해요?,dangsindo je saenggakhaeyo?
We work at the same company,같은 회사에 다녀요,gateun hoesae danyeoyo
Office romance is complicated,사내 연애는 복잡해요,sanae yeomnaeneun bokjapaeyo
We should keep this a secret,비밀로 하자,bimillo haja
Everyone already knows,다들 이미 알아요,dadeul imi arayo
We're not very good at hiding it,우리 숨기기를 잘 못해요,uri sumgigireul jal mothaeyo
The whole office is talking about us,사무실 전체가 우리 얘기해요,samusil jeonchega uri yaegihaeyo
My boss found out,상사가 알았어요,sangsaga arasseoyo
This is awkward,어색해요,eosaekhaeyo
But I don't care anymore,하지만 이제 상관없어요,hajiman ije sanggwaneopseoyo
I want to be with you openly,당당하게 사귀고 싶어요,dangdanghage sagwigo sipeoyo
Will you officially date me?,정식으로 사귈래요?,jeongsiguro sagwillaeyo?
Yes I will,네 그럴게요,ne geureolgeyo
Let's have lunch together,같이 점심 먹어요,gachi jeomsim meogeoyo
I packed lunch for both of us,도시락 두 개 쌌어요,dosirak du gae ssasseoyo
You're so thoughtful,정말 세심하시네요,jeongmal sesimhasineyo
I wanted to do something nice,뭔가 해 드리고 싶었어요,mwonga hae deurigo sipeosseoyo
Meeting after work is the best part of my day,퇴근 후 만나는 게 하루 중 제일 좋아요,toegeun hu mannaneun ge haru jung jeil joayo
Let's go on a real date,제대로 된 데이트하자,jedaero doen deiteu-haja
I made a reservation at a nice restaurant,좋은 식당을 예약했어요,joeun sikdangeul yeyakhaesseoyo
This is where we first met,여기가 우리가 처음 만난 곳이에요,yeogiga uriga cheoeum mannan gosieyo
I remember everything about that day,그날의 모든 것이 기억나요,geunare modeun geosi gieoknayo
You were so nervous,당신 정말 긴장했었어요,dangsin jeongmal ginjanghaeosseosseoyo
So were you,당신도 마찬가지였어요,dangsindo machangajiyeosseoyo
I'm glad we met,만나서 다행이에요,mannaseo dahaengieyo
You changed my life,당신이 내 인생을 바꿨어요,dangsini nae insaengeul bakkwosseoyo
I can't imagine life without you,당신 없는 삶은 상상이 안 돼요,dangsin eomneun salmeun sangsangi an dwaeyo
Thank you for being you,당신이어서 고마워요,dangsinieoseo gomawoyo
I love everything about you,당신의 모든 게 좋아요,dangsinui modeun ge joayo
Let's make many more memories,추억을 더 많이 만들어요,chueogeul deo mani mandeureoyo
Here's to our love story,우리의 사랑 이야기에 건배,uriui sarang iyagie geonbae
A business proposal became real love,사내맞선이 진짜 사랑이 됐어요,sanaematseoni jinjja sarangi dwaesseoyo
Our love story is the best,우리의 사랑 이야기가 최고예요,uriui sarang iyagiga choegoyeyo
Every love starts somewhere unexpected,모든 사랑은 예상치 못한 곳에서 시작돼요,modeun sarangeun yesangchi motan goseseo sijakdwaeyo
Because it led me to you,당신에게로 이끌어 줬으니까,dangsinegereo ikkeureol jwoseunikka
