english_text,korean_text,romanization
Happy White Day,해피 화이트데이,haepi hwaiteu dei
White Day is March 14th,화이트데이는 3월 14일이야,hwaiteu deineun samwol sibirirya
On White Day men give gifts to women,화이트데이에는 남자가 여자에게 선물해,hwaiteu deie neun namjaga yeoja-ege seonmulhae
It is the answer to Valentine's Day,발렌타인데이에 대한 답례야,ballentaindeie daehan damnyeya
I prepared a White Day gift,화이트데이 선물을 준비했어,hwaiteu dei seonmureul junbihaesseo
I bought candy for you,너를 위해 사탕을 샀어,neoreul wihae satangeul sasseo
White Day is a candy day,화이트데이는 사탕의 날이야,hwaiteu deineun satangui nariya
Candy is the traditional White Day gift,사탕이 화이트데이 전통 선물이야,satangi hwaiteu dei jeontong seonmuriya
I also got you flowers,꽃도 준비했어,kkotdo junbihaesseo
Here is a bouquet for you,꽃다발이야,kkotdariya
I bought a necklace as a gift,목걸이를 선물로 샀어,mokgeorireul seonmullo sasseo
I got you a ring,반지를 선물로 줄게,banjireul seonmullo julge
This is to thank you for Valentine's Day,발렌타인데이 고마웠어,ballentaindei gomaweosseo
I wanted to give you something special,특별한 걸 주고 싶었어,teukbyeolhan geol jugo sipeosseo
I hope you like the gift,선물 마음에 들면 좋겠어,seonmul maeume deulmyeon jokgesseo
I put a lot of thought into this,많이 고민해서 골랐어,mani gominhaeoseo gollasseo
I chose this because it reminded me of you,너가 생각나서 골랐어,neoga saenggaknaseo gollasseo
Your smile is the best gift,네 미소가 최고의 선물이야,ne misoga choegoui seonmuriya
I want to make you happy today,오늘 너를 행복하게 해주고 싶어,oneul neoreul haengbokhage haejugo sipeo
Thank you for your feelings,마음 고마워,maeum gomawo
I was so happy on Valentine's Day,발렌타인데이에 정말 행복했어,ballentaindee jeongmal haengbokhaesseo
I thought about what to give for a month,한 달 동안 선물을 고민했어,han dal dongan seonmureul gominhaesseo
I hope this conveys my feelings,내 마음이 전해졌으면 좋겠어,nae maeumi jeonhaejyeosseumyeon jokgesseo
Let us go on a date today,오늘 데이트하자,oneul deiteuhaja
I reserved a nice restaurant,좋은 식당을 예약했어,joeun sikdangeul yeyakaesseo
I planned something special,특별한 걸 계획했어,teukbyeolhan geol gyehoekhaesseo
Surprise! I got you something,놀라지 마! 선물이야,nollaji ma! seonmuriya
I made something by hand,직접 만들었어,jikjeop mandeureo sseo
A handmade gift has more meaning,수제 선물이 더 의미 있어,suje seonmuri deo uimi isseo
White Day is unique to Korea and Japan,화이트데이는 한국과 일본에만 있어,hwaiteu deineun hangukgwa ilbone man isseo
It started in the 1970s,1970년대에 시작됐어,cheongubaek chilsimnyeondaee sijakdwaesseo
It has become a big commercial event,큰 상업 이벤트가 됐어,keun sangeop ibenteuga dwaesseo
Stores have White Day promotions,가게마다 화이트데이 프로모션이 있어,gagemada hwaiteu dei peuromosyeoni isseo
White Day sales are everywhere,화이트데이 세일이 곳곳에 있어,hwaiteu dei seiri gotgose isseo
I spent a lot on the gift,선물에 돈을 많이 썼어,seonmure doneul mani sseosseo
The gift does not have to be expensive,비싼 선물이 아니어도 돼,bissan seonmuri anieodo dwae
Sincerity matters most,진심이 제일 중요해,jinsimi jeil jungyohae
It is the thought that counts,마음이 중요해,maeumi jungyohae
I wrote you a letter too,편지도 썼어,pyeonjido sseosseo
You mean a lot to me,넌 나한테 정말 소중해,neon nahante jeongmal sojunghae
Today is about showing gratitude,오늘은 감사를 표현하는 날이야,oneureun gamsareul pyohyeonhaneun nariya
I appreciate everything you do,네가 하는 모든 게 고마워,nega haneun modeun ge gomawo
I am glad I met you,만나서 정말 다행이야,mannaseo jeongmal dahaengiya
You make my life better,넌 내 삶을 더 좋게 만들어,neon nae salmeul deo jokge mandeureo
Let us celebrate together,같이 축하하자,gachi chukahaja
I got a teddy bear for you,곰 인형을 사줬어,gom inhyeongeul sajwosseo
I chose your favorite scent,네가 좋아하는 향을 골랐어,nega joahaneun hyangeul gollasseo
A perfume is also a popular gift,향수도 인기 있는 선물이야,hyangsudo ingi inneun seonmuriya
Couple items are trendy gifts,커플템이 인기야,keopultemi ingiya
We got matching bracelets,커플 팔찌를 맞췄어,keopeul paljireul majchwosseo
Every day with you is special,너와 함께하는 매일이 특별해,neowa hamkkehaneun maeiri teukbyeolhae
Thank you for being in my life,내 인생에 있어줘서 고마워,nae insaenge isseojwoseo gomawo
I love you more every day,매일 더 사랑해,maeil deo saranghae
You are my sweetest gift,넌 내 가장 달콤한 선물이야,neon nae gajang dalkomhan seonmuriya
Happy White Day my love,해피 화이트데이 내 사랑,haepi hwaiteu dei nae sarang
Here is to many more celebrations together,앞으로도 함께 축하하자,apeurodo hamkke chukahaja
Love grows stronger with time,사랑은 시간이 지나면 더 깊어져,sarangeun sigani jinamyeon deo gipeojyeo
Let us make every day White Day,매일을 화이트데이처럼 보내자,maeireul hwaiteu deicheoreom bonaeja
Our love story is my favorite,우리 사랑 이야기가 제일 좋아,uri sarang iyagiga jeil joa
You complete me,넌 나를 완성시켜,neon nareul wanseongsikyeo
